Value,"County, State"
136950.0,"O Brien, IA"
87700.0,"Fremont, IA"
109000.0,"Van Buren, IA"
159900.0,"Davis, IA"
89500.0,"Decatur, IA"
114250.0,"Wright, IA"
134900.0,"Hamilton, IA"
167500.0,"Bremer, IA"
99500.0,"Lucas, IA"
149500.0,"Henry, IA"
116400.0,"Webster, IA"
199900.0,"Plymouth, IA"
169000.0,"Poweshiek, IA"
95000.0,"Cass, IA"
124950.0,"Mahaska, IA"
89900.0,"Fayette, IA"
107499.0,"Kossuth, IA"
86000.0,"Clinton, IA"
114900.0,"Hancock, IA"
122900.0,"Marshall, IA"
148500.0,"Carroll, IA"
126500.0,"Louisa, IA"
229900.0,"Scott, IA"
200000.0,"Madison, IA"
79900.0,"Page, IA"
154000.0,"Jones, IA"
260000.0,"Bonneville, ID"
925000.0,"Blaine, ID"
335000.0,"Fremont, ID"
269500.0,"Latah, ID"
320000.0,"Jefferson, ID"
497000.0,"Teton, ID"
274900.0,"Madison, ID"
183200.0,"Gooding, ID"
219900.0,"Elmore, ID"
240000.0,"Cassia, ID"
447000.0,"Bonner, ID"
247300.0,"Twin Falls, ID"
254950.0,"Nez Perce, ID"
219500.0,"Jerome, ID"
224900.0,"Bannock, ID"
330500.0,"Boundary, ID"
291500.0,"Idaho, ID"
429500.0,"Valley, ID"
235000.0,"Washington, ID"
299895.0,"Franklin, ID"
276900.0,"Canyon, ID"
379900.0,"Ada, ID"
379900.0,"Kootenai, ID"
282450.0,"Custer, ID"
297000.0,"Lemhi, ID"
337000.0,"Adams, ID"
155000.0,"Lewis, ID"
349000.0,"Boise, ID"
234950.0,"Monroe, IL"
78500.0,"Mason, IL"
165900.0,"Champaign, IL"
79000.0,"McDonough, IL"
129000.0,"Williamson, IL"
141900.0,"Sangamon, IL"
106000.0,"Stephenson, IL"
131950.0,"Tazewell, IL"
76450.0,"White, IL"
107500.0,"Moultrie, IL"
153500.0,"Putnam, IL"
339999.5,"DuPage, IL"
95000.0,"Macoupin, IL"
145000.0,"Jersey, IL"
143900.0,"Carroll, IL"
84900.0,"Massac, IL"
168450.0,"Effingham, IL"
189900.0,"Jo Daviess, IL"
169900.0,"Johnson, IL"
79900.0,"Christian, IL"
250000.0,"McHenry, IL"
