county,cohort,perc,zsc,state
Hamilton,7496.0,0.87,1.72,OH
Hancock,861.0,0.93,-0.31,OH
Hardin,341.0,0.94,-0.55,OH
Harrison,155.0,0.88,1.21,OH
Henry,377.0,0.95,-0.72,OH
Highland,551.0,0.92,0.16,OH
Hocking,307.0,0.95,-0.85,OH
Holmes,264.0,0.94,-0.49,OH
Huron,737.0,0.96,-1.05,OH
Jackson,400.0,0.94,-0.58,OH
Jefferson,662.0,0.93,-0.12,OH
Knox,615.0,0.93,-0.25,OH
Lake,2453.0,0.92,0.24,OH
Lawrence,681.0,0.95,-0.95,OH
Licking,1981.0,0.92,0.1,OH
Logan,542.0,0.96,-1.27,OH
Lorain,3244.0,0.9,0.85,OH
Lucas,3591.0,0.84,2.46,OH
Madison,451.0,0.95,-0.92,OH
Mahoning,2284.0,0.9,0.66,OH
Marion,634.0,0.9,0.8,OH
Medina,2353.0,0.95,-0.66,OH
Meigs,259.0,0.88,1.2,OH
Mercer,655.0,0.96,-1.13,OH
Miami,1199.0,0.95,-0.81,OH
Monroe,190.0,0.92,0.08,OH
Montgomery,4989.0,0.88,1.37,OH
Morgan,156.0,0.87,1.78,OH
Morrow,394.0,0.93,-0.32,OH
Muskingum,1035.0,0.94,-0.36,OH
Noble,133.0,0.96,-1.19,OH
Ottawa,454.0,0.96,-1.13,OH
Paulding,231.0,0.97,-1.41,OH
Perry,430.0,0.91,0.36,OH
Pickaway,739.0,0.93,-0.15,OH
Pike,367.0,0.89,1,OH
Portage,1654.0,0.92,-0.01,OH
Preble,512.0,0.93,-0.31,OH
Putnam,479.0,0.97,-1.57,OH
Richland,1246.0,0.9,0.73,OH
Ross,853.0,0.9,0.85,OH
Sandusky,666.0,0.96,-1.19,OH
Scioto,816.0,0.95,-0.92,OH
Seneca,499.0,0.94,-0.38,OH
Shelby,641.0,0.92,0.14,OH
Stark,4370.0,0.92,0.19,OH
Summit,5416.0,0.9,0.74,OH
Trumbull,2220.0,0.91,0.43,OH
Tuscarawas,1211.0,0.86,2.08,OH
Union,601.0,0.95,-0.86,OH
Van Wert,271.0,0.94,-0.53,OH
Vinton,159.0,0.89,1.12,OH
Warren,2736.0,0.97,-1.31,OH
Washington,697.0,0.92,0.07,OH
Wayne,1211.0,0.95,-0.8,OH
Williams,487.0,0.94,-0.58,OH
Wood,1341.0,0.96,-1.25,OH
Wyandot,261.0,0.95,-0.93,OH
Adair,287.0,0.83,0.28,OK
Alfalfa,,,0,OK
Atoka,165.0,0.8,0.86,OK
Beaver,,,0,OK
Beckham,272.0,0.86,-0.52,OK
Blaine,,,0,OK
Bryan,494.0,0.84,-0.03,OK
Caddo,512.0,0.85,-0.23,OK
Canadian,1786.0,0.93,-1.99,OK
Carter,656.0,0.85,-0.32,OK
Cherokee,507.0,0.86,-0.51,OK
Choctaw,190.0,0.8,0.9,OK
Cimarron,,,0,OK
Cleveland,3086.0,0.86,-0.36,OK
Coal,,,0,OK
Comanche,1601.0,0.77,1.58,OK
Cotton,,,0,OK
Craig,248.0,0.82,0.42,OK
Creek,886.0,0.86,-0.45,OK
Custer,367.0,0.92,-1.69,OK
Delaware,415.0,0.9,-1.22,OK
Dewey,,,0,OK
Ellis,,,0,OK
Garfield,746.0,0.84,0.08,OK
Garvin,392.0,0.84,-0.05,OK
Grady,647.0,0.85,-0.25,OK
Grant,,,0,OK
Greer,,,0,OK
Harmon,,,0,OK
Harper,,,0,OK
Haskell,155.0,0.89,-1.08,OK
Hughes,151.0,0.87,-0.61,OK
Jackson,321.0,0.77,1.67,OK
Jefferson,,,0,OK
Johnston,135.0,0.78,1.42,OK
Kay,554.0,0.85,-0.28,OK
Kingfisher,292.0,0.88,-0.8,OK
Kiowa,,,0,OK
Latimer,126.0,0.85,-0.26,OK
Le Flore,663.0,0.83,0.26,OK
Lincoln,393.0,0.93,-1.99,OK
Logan,343.0,0.75,2.05,OK
Love,135.0,0.85,-0.26,OK
Major,,,0,OK
Marshall,213.0,0.83,0.17,OK
Mayes,566.0,0.81,0.72,OK
McClain,513.0,0.89,-1,OK
McCurtain,512.0,0.88,-0.93,OK
McIntosh,216.0,0.84,0.05,OK
Murray,201.0,0.82,0.42,OK
Muskogee,1049.0,0.83,0.31,OK
Noble,148.0,0.9,-1.23,OK
Nowata,161.0,0.86,-0.43,OK
Okfuskee,151.0,0.84,-0.09,OK
Oklahoma,9962.0,0.77,1.51,OK
Okmulgee,463.0,0.82,0.36,OK
Osage,229.0,0.88,-0.87,OK
Ottawa,425.0,0.81,0.69,OK
Pawnee,177.0,0.89,-1.13,OK
Payne,730.0,0.85,-0.21,OK
Pittsburg,582.0,0.8,0.98,OK
Pontotoc,448.0,0.86,-0.52,OK
Pottawatomie,902.0,0.8,0.98,OK
Pushmataha,141.0,0.89,-1.03,OK
Roger Mills,,,0,OK
Rogers,1099.0,0.86,-0.42,OK
Seminole,371.0,0.82,0.54,OK
Sequoyah,577.0,0.81,0.6,OK
Stephens,605.0,0.84,0.03,OK
Texas,373.0,0.7,3.03,OK
Tillman,,,0,OK
Tulsa,8112.0,0.84,0.11,OK
Wagoner,482.0,0.88,-0.84,OK
Washington,812.0,0.74,2.26,OK
Washita,,,0,OK
Woods,83.0,0.84,-0.04,OK
Woodward,247.0,0.87,-0.65,OK
Baker,342.0,0.74,0.53,OR
Benton,750.0,0.85,-1.03,OR
Clackamas,5245.0,0.82,-0.69,OR
Clatsop,413.0,0.69,1.32,OR
Columbia,658.0,0.81,-0.51,OR
Coos,953.0,0.57,2.93,OR
Crook,244.0,0.72,0.8,OR
Curry,192.0,0.7,1.06,OR
Deschutes,2114.0,0.79,-0.24,OR
Douglas,1228.0,0.66,1.67,OR
Gilliam,34.0,0.88,-1.53,OR
Grant,60.0,0.85,-1.06,OR
Harney,96.0,0.84,-0.97,OR
Hood River,320.0,0.83,-0.83,OR
Jackson,2169.0,0.77,0.09,OR
Jefferson,236.0,0.74,0.5,OR
Josephine,883.0,0.7,1.17,OR
Klamath,746.0,0.73,0.6,OR
Lake,84.0,0.79,-0.13,OR
Lane,3779.0,0.73,0.7,OR
Lincoln,427.0,0.78,-0.01,OR
Linn,2173.0,0.75,0.41,OR
Malheur,391.0,0.83,-0.75,OR
Marion,4660.0,0.76,0.3,OR
Morrow,223.0,0.79,-0.25,OR
Multnomah,6724.0,0.75,0.38,OR
Polk,509.0,0.8,-0.28,OR
Sherman,26.0,0.73,0.66,OR
Tillamook,242.0,0.81,-0.48,OR
Umatilla,1054.0,0.76,0.24,OR
Union,273.0,0.86,-1.16,OR
Wallowa,73.0,0.92,-2.04,OR
Wasco,311.0,0.74,0.49,OR
Washington,6539.0,0.85,-1.1,OR
Wheeler,195.0,0.26,NR,OR
Yamhill,1373.0,0.83,-0.78,OR
Adams,1045.0,0.91,-0.36,PA
Allegheny,11380.0,0.91,-0.24,PA
Armstrong,657.0,0.89,0.26,PA
Beaver,3750.0,0.7,5,PA
Bedford,583.0,0.92,-0.46,PA
Berks,5169.0,0.87,0.82,PA
Blair,1420.0,0.9,-0.14,PA
Bradford,646.0,0.91,-0.31,PA
Bucks,7093.0,0.94,-0.91,PA
Butler,2201.0,0.94,-1.02,PA
Cambria,1362.0,0.93,-0.84,PA
Cameron,49.0,0.9,0.03,PA
Carbon,642.0,0.9,-0.03,PA
Centre,1133.0,0.92,-0.42,PA
Chester,6512.0,0.91,-0.25,PA
Clarion,462.0,0.91,-0.3,PA
Clearfield,724.0,0.9,-0.03,PA
Clinton,356.0,0.93,-0.83,PA
Columbia,779.0,0.88,0.4,PA
Crawford,822.0,0.92,-0.6,PA
Cumberland,2258.0,0.93,-0.75,PA
Dauphin,3845.0,0.8,2.56,PA
Delaware,5633.0,0.89,0.26,PA
Elk,270.0,0.89,0.26,PA
Erie,2869.0,0.87,0.65,PA
Fayette,1287.0,0.85,1.32,PA
Forest,40.0,0.9,-0.02,PA
Franklin,1790.0,0.88,0.38,PA
Fulton,170.0,0.91,-0.17,PA
Greene,379.0,0.91,-0.27,PA
Huntingdon,474.0,0.86,0.9,PA
Indiana,672.0,0.93,-0.84,PA
Jefferson,438.0,0.93,-0.8,PA
Juniata,221.0,0.95,-1.15,PA
Lackawanna,2030.0,0.88,0.47,PA
Lancaster,5197.0,0.91,-0.3,PA
Lawrence,926.0,0.94,-0.89,PA
Lebanon,1366.0,0.85,1.2,PA
Lehigh,3960.0,0.87,0.63,PA
Luzerne,3244.0,0.86,1.02,PA
Lycoming,1110.0,0.9,-0.04,PA
McKean,475.0,0.9,-0.05,PA
Mercer,1110.0,0.93,-0.71,PA
Mifflin,382.0,0.9,0.1,PA
Monroe,2056.0,0.93,-0.68,PA
Montgomery,9665.0,0.87,0.78,PA
Montour,160.0,0.96,-1.57,PA
Northampton,3693.0,0.89,0.24,PA
Northumberland,839.0,0.88,0.52,PA
Perry,467.0,0.92,-0.59,PA
Philadelphia,12514.0,0.79,2.6,PA
Pike,926.0,0.89,0.29,PA
Potter,194.0,0.87,0.82,PA
Schuylkill,1183.0,0.91,-0.21,PA
Snyder,340.0,0.9,0.05,PA
Somerset,713.0,0.92,-0.45,PA
Sullivan,50.0,0.92,-0.52,PA
Susquehanna,470.0,0.91,-0.39,PA
Tioga,391.0,0.87,0.8,PA
Union,317.0,0.95,-1.17,PA
Venango,472.0,0.92,-0.61,PA
Warren,390.0,0.92,-0.4,PA
Washington,2077.0,0.93,-0.73,PA
Wayne,348.0,0.95,-1.15,PA
Westmoreland,3774.0,0.94,-1.08,PA
Wyoming,290.0,0.9,-0.11,PA
York,4622.0,0.9,0.05,PA
Bristol,456.0,0.93,-0.6,RI
Kent,1437.0,0.92,-0.38,RI
Newport,649.0,0.91,-0.14,RI
Providence,5877.0,0.82,1.75,RI
Washington,1160.0,0.93,-0.64,RI
Abbeville,227.0,0.88,-0.69,SC
Aiken,1582.0,0.9,-1.2,SC
Allendale,91.0,0.84,0.23,SC
Anderson,2369.0,0.88,-0.7,SC
Bamberg,169.0,0.82,0.51,SC
Barnwell,253.0,0.86,-0.36,SC
Beaufort,1422.0,0.84,0.11,SC
Berkeley,2173.0,0.83,0.24,SC
Calhoun,101.0,0.9,-1.23,SC
Charleston,3188.0,0.85,-0.04,SC
Cherokee,640.0,0.84,0.11,SC
Chester,359.0,0.86,-0.28,SC
Chesterfield,387.0,0.9,-1.25,SC
Clarendon,364.0,0.81,0.72,SC
Colleton,364.0,0.87,-0.44,SC
Darlington,824.0,0.9,-1.19,SC
Dillon,386.0,0.88,-0.84,SC
Dorchester,2031.0,0.86,-0.41,SC
Edgefield,336.0,0.89,-0.98,SC
Fairfield,188.0,0.91,-1.42,SC
Florence,1592.0,0.85,-0.19,SC
Georgetown,689.0,0.9,-1.27,SC
Greenville,5464.0,0.87,-0.6,SC
Greenwood,875.0,0.84,0.22,SC
Hampton,232.0,0.86,-0.37,SC
Horry,3209.0,0.8,0.96,SC
Jasper,200.0,0.75,2.23,SC
Kershaw,767.0,0.85,-0.04,SC
Lancaster,900.0,0.83,0.34,SC
Laurens,674.0,0.81,0.79,SC
Lee,163.0,0.85,-0.02,SC
Lexington,3705.0,0.86,-0.24,SC
Marion,354.0,0.86,-0.23,SC
Marlboro,291.0,0.84,0.23,SC
McCormick,47.0,0.81,0.82,SC
Newberry,424.0,0.84,0.13,SC
Oconee,725.0,0.86,-0.21,SC
Orangeburg,959.0,0.82,0.55,SC
Pickens,1261.0,0.84,0.13,SC
Richland,6224.0,0.7,3.34,SC
Saluda,154.0,0.73,2.48,SC
Spartanburg,3432.0,0.88,-0.73,SC
Sumter,1185.0,0.84,0.07,SC
Union,308.0,0.76,1.98,SC
Williamsburg,313.0,0.86,-0.24,SC
York,3389.0,0.89,-1.03,SC
Aurora,34.0,0.97,-0.89,SD
Beadle,188.0,0.79,0.95,SD
Bennett,44.0,0.84,0.41,SD
Bon Homme,86.0,0.93,-0.48,SD
Brookings,289.0,0.88,0.03,SD
Brown,416.0,0.85,0.31,SD
Brule,63.0,0.87,0.09,SD
Buffalo,,,0,SD
Butte,103.0,0.91,-0.31,SD
Campbell,,,0,SD
Charles Mix,91.0,0.81,0.69,SD
Clark,35.0,0.94,-0.61,SD
Clay,79.0,0.89,-0.04,SD
Codington,348.0,0.89,-0.03,SD
Corson,49.0,0.49,3,SD
Custer,57.0,0.91,-0.3,SD
Davison,213.0,0.92,-0.38,SD
Day,69.0,0.9,-0.16,SD
Deuel,35.0,0.91,-0.32,SD
Dewey,75.0,0.88,0.02,SD
Douglas,27.0,1.0,-1.18,SD
Edmunds,23.0,1.0,-1.18,SD
Fall River,90.0,0.81,0.71,SD
Faulk,18.0,0.83,0.49,SD
Grant,92.0,0.92,-0.42,SD
Gregory,43.0,0.77,1.15,SD
Haakon,25.0,1.0,-1.18,SD
Hamlin,78.0,0.95,-0.67,SD
Hand,27.0,0.93,-0.44,SD
Hanson,50.0,0.96,-0.78,SD
Harding,22.0,0.95,NR,SD
Hughes,191.0,0.88,0.03,SD
Hutchinson,79.0,0.92,-0.42,SD
Hyde,20.0,0.9,-0.18,SD
Jackson,25.0,0.88,0.02,SD
Jerauld,12.0,0.83,NR,SD
Jones,12.0,0.92,NR,SD
Kingsbury,78.0,0.94,-0.54,SD
Lake,188.0,0.78,1.01,SD
Lawrence,176.0,0.94,-0.61,SD
Lincoln,420.0,0.91,-0.32,SD
Lyman,31.0,0.97,-0.86,SD
Marshall,40.0,0.95,-0.68,SD
McCook,62.0,0.98,-1.02,SD
McPherson,10.0,0.7,1.83,SD
Meade,181.0,0.88,0.04,SD
Mellette,33.0,0.79,0.95,SD
Miner,26.0,1.0,-1.18,SD
Minnehaha,2128.0,0.88,0.07,SD
Moody,55.0,0.91,-0.27,SD
Oglala Lakota,,,0,SD
Pennington,1227.0,0.78,0.99,SD
Perkins,38.0,0.92,-0.39,SD
Potter,31.0,0.9,-0.21,SD
Roberts,86.0,0.83,0.57,SD
Sanborn,27.0,0.96,-0.81,SD
Spink,63.0,0.9,-0.23,SD
Stanley,30.0,0.93,-0.51,SD
Sully,24.0,0.96,NR,SD
Todd,117.0,0.56,3,SD
Tripp,78.0,0.88,-0.02,SD
Turner,89.0,0.91,-0.28,SD
Union,182.0,0.95,-0.69,SD
Walworth,74.0,0.96,-0.77,SD
Yankton,220.0,0.96,-0.77,SD
Ziebach,21.0,0.62,2.64,SD
Anderson,859.0,0.92,0.15,TN
Bedford,571.0,0.91,0.45,TN
Benton,166.0,0.96,-0.77,TN
Bledsoe,124.0,0.85,1.79,TN
Blount,1330.0,0.94,-0.44,TN
Bradley,1186.0,0.91,0.45,TN
Campbell,460.0,0.94,-0.25,TN
Cannon,137.0,0.93,0,TN
Carroll,314.0,0.96,-0.95,TN
Carter,637.0,0.94,-0.22,TN
Cheatham,506.0,0.9,0.69,TN
Chester,210.0,0.94,-0.28,TN
Claiborne,312.0,0.92,0.25,TN
Clay,62.0,1.0,-1.82,TN
Cocke,381.0,0.93,-0.19,TN
Coffee,721.0,0.9,0.63,TN
Crockett,210.0,0.98,-1.23,TN
Cumberland,540.0,0.9,0.62,TN
Davidson,5508.0,0.8,3.13,TN
Decatur,119.0,0.95,-0.57,TN
DeKalb,196.0,0.95,-0.68,TN
Dickson,599.0,0.96,-0.78,TN
Dyer,487.0,0.96,-0.9,TN
Fayette,209.0,0.9,0.56,TN
Fentress,230.0,0.95,-0.63,TN
Franklin,424.0,0.93,-0.12,TN
Gibson,654.0,0.94,-0.38,TN
Giles,346.0,0.91,0.48,TN
Grainger,254.0,0.94,-0.45,TN
Greene,784.0,0.94,-0.42,TN
Grundy,191.0,0.94,-0.26,TN
Hamblen,645.0,0.94,-0.36,TN
Hamilton,3023.0,0.85,2.02,TN
Hancock,77.0,0.88,1.09,TN
Hardeman,259.0,0.88,1.06,TN
Hardin,249.0,0.91,0.48,TN
Hawkins,611.0,0.97,-1.09,TN
Haywood,231.0,0.89,0.98,TN
Henderson,346.0,0.98,-1.39,TN
Henry,312.0,0.91,0.49,TN
Hickman,264.0,0.95,-0.5,TN
Houston,98.0,0.97,-1.06,TN
Humphreys,230.0,0.91,0.34,TN
Jackson,116.0,0.86,1.61,TN
Jefferson,534.0,0.96,-0.8,TN
Johnson,171.0,0.96,-0.95,TN
Knox,4366.0,0.9,0.78,TN
Lake,53.0,0.96,-0.88,TN
Lauderdale,297.0,0.98,-1.4,TN
Lawrence,467.0,0.95,-0.49,TN
Lewis,136.0,0.93,-0.17,TN
Lincoln,384.0,0.95,-0.46,TN
Loudon,516.0,0.91,0.3,TN
Macon,270.0,0.88,1.22,TN
Madison,993.0,0.87,1.31,TN
Marion,306.0,0.88,1.27,TN
Marshall,409.0,0.94,-0.42,TN
Maury,798.0,0.91,0.46,TN
McMinn,507.0,0.94,-0.45,TN
McNairy,297.0,0.95,-0.56,TN
Meigs,127.0,0.97,-1.04,TN
Monroe,489.0,0.91,0.32,TN
Montgomery,2210.0,0.95,-0.59,TN
Moore,62.0,0.92,0.19,TN
Morgan,272.0,0.98,-1.37,TN
Obion,384.0,0.84,2.07,TN
Overton,237.0,0.86,1.65,TN
Perry,89.0,0.97,-0.98,TN
Pickett,63.0,0.97,-1.03,TN
Polk,176.0,0.91,0.3,TN
Putnam,866.0,0.92,0.08,TN
Rhea,366.0,0.87,1.38,TN
Roane,508.0,0.95,-0.7,TN
Robertson,815.0,0.97,-1.06,TN
Rutherford,3543.0,0.95,-0.66,TN
Scott,292.0,0.96,-0.8,TN
Sequatchie,162.0,0.86,1.56,TN
Sevier,1088.0,0.89,0.88,TN
Shelby,11552.0,0.8,3.07,TN
Smith,208.0,0.92,0.09,TN
Stewart,153.0,0.97,-1.17,TN
Sullivan,1786.0,0.94,-0.44,TN
Sumner,2099.0,0.95,-0.49,TN
Tipton,777.0,0.97,-1.15,TN
Trousdale,96.0,0.98,-1.3,TN
Unicoi,198.0,0.86,1.7,TN
Union,209.0,0.87,1.4,TN
Van Buren,49.0,0.9,0.72,TN
Warren,499.0,0.94,-0.38,TN
Washington,1330.0,0.92,0.07,TN
Wayne,164.0,0.96,-0.91,TN
Weakley,355.0,0.92,0.21,TN
White,276.0,0.94,-0.29,TN
Williamson,2903.0,0.96,-0.73,TN
Wilson,1572.0,0.96,-0.87,TN
Anderson,557.0,0.94,-0.22,TX
Andrews,238.0,0.95,-0.43,TX
Angelina,1256.0,0.93,0.02,TX
Aransas,222.0,0.87,0.96,TX
Archer,161.0,0.99,-1.15,TX
Armstrong,,1.0,-1.27,TX
Atascosa,612.0,0.94,-0.22,TX
Austin,431.0,0.94,-0.26,TX
Bailey,82.0,0.99,-1.06,TX
Bandera,176.0,0.94,-0.29,TX
Bastrop,1130.0,0.92,0.09,TX
Baylor,,0.95,-0.41,TX
Bee,346.0,0.88,0.77,TX
Bell,5607.0,0.78,2.58,TX
Bexar,23565.0,0.88,0.73,TX
Blanco,142.0,0.97,-0.72,TX
Borden,,1.0,NR,TX
Bosque,174.0,0.96,-0.55,TX
Bowie,1183.0,0.93,-0.12,TX
Brazoria,4663.0,0.94,-0.19,TX
Brazos,1953.0,0.83,1.59,TX
Brewster,,0.96,-0.63,TX
Briscoe,,0.92,0.15,TX
Brooks,107.0,0.85,1.3,TX
Brown,432.0,0.96,-0.63,TX
Burleson,190.0,0.92,0.05,TX
Burnet,510.0,0.93,-0.02,TX
Caldwell,511.0,0.9,0.41,TX
Calhoun,316.0,0.92,0.17,TX
Callahan,150.0,0.96,-0.63,TX
Cameron,7010.0,0.91,0.24,TX
Camp,181.0,0.97,-0.7,TX
Carson,,0.98,-0.85,TX
Cass,392.0,0.97,-0.67,TX
Castro,108.0,0.98,-0.94,TX
Chambers,522.0,0.98,-0.99,TX
Cherokee,714.0,0.89,0.7,TX
Childress,96.0,0.9,0.43,TX
Clay,,0.98,-0.97,TX
Cochran,,1.0,-1.27,TX
Coke,,0.92,0.09,TX
Coleman,96.0,0.89,0.63,TX
Collin,13698.0,0.97,-0.7,TX
Collingsworth,,0.98,-0.89,TX
Colorado,269.0,0.86,1.14,TX
Comal,2147.0,0.94,-0.15,TX
Comanche,148.0,0.99,-1.04,TX
Concho,,1.0,-1.27,TX
Cooke,409.0,0.96,-0.65,TX
Coryell,773.0,0.93,-0.1,TX
Cottle,,1.0,-1.27,TX
Crane,81.0,0.91,0.32,TX
Crockett,,0.88,0.75,TX
Crosby,,0.95,-0.44,TX
Culberson,,0.98,-0.84,TX
Dallam,137.0,0.98,-0.97,TX
Dallas,33856.0,0.84,1.54,TX
Dawson,166.0,0.96,-0.6,TX
Deaf Smith,277.0,0.9,0.53,TX
Delta,,0.94,-0.31,TX
Denton,11075.0,0.94,-0.31,TX
DeWitt,188.0,0.93,-0.14,TX
Dickens,,0.95,-0.36,TX
Dimmit,147.0,0.83,1.66,TX
Donley,,0.93,-0.12,TX
Duval,180.0,0.86,1.13,TX
Eastland,206.0,0.94,-0.29,TX
Ector,1868.0,0.81,2.02,TX
Edwards,,0.96,-0.63,TX
El Paso,13277.0,0.86,1.18,TX
Ellis,2719.0,0.92,0.07,TX
Erath,334.0,0.59,5.76,TX
Falls,,0.87,0.91,TX
Fannin,358.0,0.97,-0.7,TX
Fayette,255.0,0.94,-0.24,TX
Fisher,,0.98,-0.85,TX
Floyd,,0.96,-0.5,TX
Foard,,1.0,-1.27,TX
Fort Bend,13354.0,0.93,-0.05,TX
Franklin,110.0,0.99,-1.08,TX
Freestone,259.0,0.94,-0.24,TX
Frio,204.0,0.85,1.37,TX
Gaines,227.0,0.93,0,TX
Galveston,5899.0,0.92,0.15,TX
Garza,,0.71,3,TX
Gillespie,291.0,0.95,-0.39,TX
Glasscock,,1.0,NR,TX
Goliad,106.0,0.99,-1.09,TX
Gonzales,292.0,0.85,1.38,TX
Gray,260.0,0.95,-0.36,TX
Grayson,1429.0,0.94,-0.27,TX
Gregg,1652.0,0.94,-0.21,TX
Grimes,286.0,0.93,-0.03,TX
Guadalupe,2005.0,0.94,-0.27,TX
Hale,530.0,0.89,0.7,TX
Hall,,1.0,-1.27,TX
Hamilton,,0.99,-1.06,TX
Hansford,,0.99,-1.08,TX
Hardeman,,0.98,-0.94,TX
Hardin,708.0,0.96,-0.53,TX
Harris,53667.0,0.87,1.01,TX
Harrison,900.0,0.94,-0.15,TX
Hartley,,0.95,-0.36,TX
Haskell,,0.91,0.26,TX
Hays,2472.0,0.89,0.55,TX
Hemphill,64.0,0.84,1.54,TX
Henderson,706.0,0.96,-0.55,TX
Hidalgo,15082.0,0.88,0.72,TX
Hill,458.0,0.96,-0.53,TX
Hockley,317.0,0.87,0.96,TX
Hood,572.0,0.95,-0.34,TX
Hopkins,452.0,0.94,-0.22,TX
Houston,220.0,0.95,-0.44,TX
Howard,334.0,0.92,0.14,TX
Hudspeth,,0.94,-0.24,TX
Hunt,1030.0,0.9,0.38,TX
Hutchinson,298.0,0.94,-0.21,TX
Irion,,1.0,NR,TX
Jack,111.0,0.98,-0.92,TX
Jackson,222.0,0.96,-0.63,TX
Jasper,389.0,0.96,-0.62,TX
Jeff Davis,,1.0,-1.27,TX
Jefferson,2683.0,0.86,1.14,TX
Jim Hogg,69.0,0.85,1.33,TX
Jim Wells,583.0,0.84,1.42,TX
Johnson,2346.0,0.93,-0.1,TX
Jones,,0.96,-0.56,TX
Karnes,,0.95,-0.39,TX
Kaufman,1790.0,0.93,-0.1,TX
Kendall,741.0,0.98,-0.91,TX
Kenedy,,,NR,TX
Kent,,0.9,NR,TX
Kerr,500.0,0.94,-0.24,TX
Kimble,,0.98,-0.94,TX
King,,1.0,NR,TX
Kinney,,0.93,-0.07,TX
Kleberg,346.0,0.88,0.73,TX
Knox,,0.98,-0.94,TX
La Salle,89.0,0.87,1.01,TX
Lamar,574.0,0.94,-0.21,TX
Lamb,200.0,0.96,-0.53,TX
Lampasas,263.0,0.97,-0.74,TX
Lavaca,251.0,0.97,-0.67,TX
Lee,223.0,0.95,-0.48,TX
Leon,218.0,0.98,-0.84,TX
Liberty,1013.0,0.92,0.17,TX
Limestone,268.0,0.9,0.41,TX
Lipscomb,,0.97,-0.7,TX
Live Oak,132.0,0.93,-0.07,TX
Llano,103.0,1.0,-1.27,TX
Loving,,,NR,TX
Lubbock,3038.0,0.9,0.43,TX
Lynn,,1.0,-1.27,TX
Madison,159.0,0.95,-0.48,TX
Marion,88.0,0.94,-0.19,TX
Martin,,0.97,-0.67,TX
Mason,,1.0,-1.27,TX
Matagorda,482.0,0.92,0.17,TX
Maverick,1123.0,0.87,0.97,TX
McCulloch,121.0,0.98,-0.94,TX
McLennan,3289.0,0.91,0.32,TX
McMullen,,1.0,NR,TX
Medina,689.0,0.94,-0.15,TX
Menard,,0.95,-0.36,TX
Midland,1670.0,0.88,0.84,TX
Milam,274.0,0.91,0.22,TX
Mills,,0.7,3,TX
Mitchell,96.0,0.97,-0.79,TX
Montague,205.0,0.96,-0.55,TX
Montgomery,7136.0,0.92,0.19,TX
Moore,342.0,0.97,-0.7,TX
Morris,145.0,0.95,-0.48,TX
Motley,,1.0,-1.27,TX
Nacogdoches,722.0,0.89,0.7,TX
Navarro,639.0,0.95,-0.41,TX
Newton,151.0,0.92,0.15,TX
Nolan,195.0,0.93,-0.02,TX
Nueces,4376.0,0.87,0.92,TX
Ochiltree,174.0,0.91,0.26,TX
Oldham,,1.0,-1.27,TX
Orange,1066.0,0.91,0.29,TX
Palo Pinto,310.0,0.94,-0.29,TX
Panola,277.0,0.89,0.56,TX
Parker,1525.0,0.97,-0.68,TX
Parmer,140.0,0.97,-0.67,TX
Pecos,210.0,0.65,3,TX
Polk,439.0,0.92,0.09,TX
Potter,2381.0,0.88,0.84,TX
Presidio,142.0,0.94,-0.21,TX
Rains,120.0,0.92,0.1,TX
Randall,682.0,0.97,-0.67,TX
Reagan,,0.96,-0.55,TX
Real,,0.71,3,TX
Red River,,0.97,-0.82,TX
Reeves,176.0,0.96,-0.5,TX
Refugio,,0.95,-0.46,TX
Roberts,,1.0,NR,TX
Robertson,208.0,0.97,-0.75,TX
Rockwall,1460.0,0.96,-0.55,TX
Runnels,140.0,0.97,-0.75,TX
Rusk,544.0,0.93,-0.14,TX
Sabine,145.0,0.92,0.07,TX
San Augustine,,0.94,-0.21,TX
San Jacinto,225.0,0.91,0.32,TX
San Patricio,976.0,0.93,-0.03,TX
San Saba,,0.93,-0.12,TX
Schleicher,,0.98,-0.87,TX
Scurry,209.0,0.93,-0.02,TX
Shackelford,,0.93,-0.02,TX
Shelby,342.0,0.93,-0.05,TX
Sherman,,0.96,-0.55,TX
Smith,2147.0,0.91,0.27,TX
Somervell,213.0,0.88,0.79,TX
Starr,1140.0,0.91,0.22,TX
Stephens,96.0,0.91,0.31,TX
Sterling,,0.95,NR,TX
Stonewall,,0.96,-0.53,TX
Sutton,80.0,0.95,-0.41,TX
Swisher,115.0,0.88,0.84,TX
Tarrant,24137.0,0.89,0.55,TX
Taylor,1449.0,0.86,1.11,TX
Terrell,,0.9,0.44,TX
Terry,159.0,0.92,0.07,TX
Throckmorton,,0.96,-0.5,TX
Titus,395.0,0.97,-0.74,TX
Tom Green,1322.0,0.89,0.58,TX
Travis,9303.0,0.9,0.51,TX
Trinity,156.0,0.89,0.56,TX
Tyler,252.0,0.92,0.05,TX
Upshur,500.0,0.96,-0.58,TX
Upton,,0.93,-0.12,TX
Uvalde,436.0,0.78,2.58,TX
Val Verde,744.0,0.86,1.11,TX
Van Zandt,763.0,0.93,-0.1,TX
Victoria,1031.0,0.81,1.91,TX
Walker,651.0,0.77,2.65,TX
Waller,656.0,0.95,-0.36,TX
Ward,154.0,0.95,-0.41,TX
Washington,356.0,0.91,0.22,TX
Webb,4769.0,0.91,0.22,TX
Wharton,593.0,0.96,-0.63,TX
Wheeler,,0.95,-0.36,TX
Wichita,1312.0,0.97,-0.68,TX
