county_name,crime_rate_per_100000,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY,State
Trinity ,156.1570494,240,13850,13850,3,3,100.0,21,187,4,3,1,13,81,82,24,0,13448,6,105,CA
Liberty ,155.70727030000003,363,8427,8427,10,4,100.0,13,53,1,1,0,11,22,31,0,0,8349,12,77,FL
Barry ,155.6762611,1250,58863,58382,8,7,100.0,92,734,0,26,2,64,172,533,29,5,59097,26,15,MI
Greenwood ,155.66625159999998,932,6678,6678,1,1,100.0,10,73,1,1,0,8,31,41,1,0,6424,20,73,KS
Bolivar ,155.65802230000003,1420,33851,26339,6,2,68.7482,53,879,0,4,30,19,141,712,25,2,34049,28,11,MS
Chatham ,155.6490115,1930,63380,64831,5,4,100.0,104,1284,1,10,18,75,504,739,41,8,66817,37,37,NC
Westmoreland ,155.6132514,2334,365123,364215,46,44,99.8894,564,5285,6,74,118,366,1000,4093,192,63,362437,42,129,PA
Fisher ,155.60165980000002,2626,3973,3973,1,1,100.0,6,66,0,0,0,6,34,30,2,0,3856,48,151,TX
Bennington ,155.4870564,2837,36945,36945,5,5,100.0,57,963,0,5,4,48,277,651,35,3,36659,50,3,VT
West Feliciana ,155.4001554,1184,15551,15551,2,2,100.0,24,192,0,7,2,15,38,154,0,1,15444,22,125,LA
Pitkin ,155.3599171,296,16397,17339,3,4,100.0,27,400,0,6,1,20,26,368,6,2,17379,8,97,CO
Nez Perce ,155.3300764,592,39811,39811,2,2,100.0,62,1403,0,9,10,43,324,1016,63,2,39915,16,69,ID
Rutherford ,155.3258857,1992,68207,63860,8,5,100.0,104,2090,1,5,14,84,863,1127,100,14,66956,37,161,NC
Rockland ,155.1870815,1892,316859,316859,20,11,100.0,498,3813,2,28,144,324,540,3145,127,18,320903,36,87,NY
Arenac ,154.9686834,1248,15660,15660,4,4,93.6207,24,237,0,7,2,15,74,149,14,4,15487,26,11,MI
Talbot ,154.8946716,523,6711,6423,3,3,100.0,10,111,1,0,3,6,29,76,6,0,6456,13,263,GA
Meagher ,154.8786784,1642,1924,1924,1,1,100.0,3,22,0,0,0,3,2,19,1,0,1937,30,59,MT
Summers ,154.8330015,3071,13867,13867,6,4,100.0,21,278,0,1,4,16,102,171,5,0,13563,54,89,WV
Genesee ,154.74148080000003,1867,60189,60317,10,5,100.0,92,1357,0,12,8,72,266,1059,32,16,59454,36,37,NY
Ulster ,154.69784199999998,1904,183433,183433,24,18,99.6094,280,3673,1,31,38,209,731,2865,77,24,180998,36,111,NY
Johnston ,154.6860783,2189,11207,11207,2,2,100.0,17,67,1,1,0,15,17,46,4,1,10990,40,69,OK
Prowers ,154.5846554,297,12723,12723,2,2,100.0,19,318,0,0,2,17,61,245,12,0,12291,8,99,CO
Rawlins ,154.4998069,972,2525,2525,2,2,100.0,4,34,0,1,1,2,8,22,4,0,2589,20,153,KS
Hall ,154.3686323,2646,3428,3428,2,2,100.0,5,47,0,0,0,5,17,25,5,0,3239,48,191,TX
Haines ,154.3209877,76,2585,2585,1,1,100.0,4,28,0,0,0,4,2,25,1,0,2592,2,100,AK
Grady ,154.2843579,458,25524,25524,4,3,100.0,39,496,0,7,5,27,130,346,20,0,25278,13,131,GA
Antrim ,154.04364569999998,1247,23333,23333,6,6,100.0,36,402,0,14,0,22,95,279,28,1,23370,26,9,MI
Dixon ,153.8198599,1696,6479,6031,3,3,100.0,9,86,0,3,0,6,26,58,2,3,5851,31,51,NE
Monona ,153.49194169999998,863,9275,9275,2,2,67.558,14,120,0,3,2,9,24,87,8,1,9121,19,133,IA
Hardin ,153.38253600000002,2650,56073,56073,5,5,100.0,85,907,3,7,12,63,192,625,90,5,55417,48,199,TX
Twiggs ,153.28381090000002,536,8873,7854,4,2,100.0,13,166,0,0,4,9,59,101,6,1,8481,13,289,GA
Clarion ,153.2371345,2285,40070,40078,10,11,100.0,60,647,2,28,3,27,137,486,24,6,39155,42,31,PA
Houston ,152.76504740000001,2663,23836,23836,3,3,100.0,35,394,1,0,1,33,131,237,26,2,22911,48,225,TX
Delta ,152.7300496,2610,5290,5290,1,1,100.0,8,128,0,0,1,7,66,52,10,2,5238,48,119,TX
Rio Grande ,152.50360080000002,300,11901,12121,4,5,100.0,18,231,2,1,5,10,72,156,3,1,11803,8,105,CO
Oceana ,152.40998290000002,1306,26881,23866,8,6,100.0,40,524,3,16,3,18,149,361,14,1,26245,26,127,MI
Moniteau ,152.40030480000001,1565,15727,15727,3,3,100.0,24,209,0,3,6,15,63,134,12,1,15748,29,135,MO
Bertie ,152.37907980000003,1919,21081,21081,5,3,97.1436,31,360,0,2,8,21,120,229,11,3,20344,37,15,NC
Santa Rosa ,152.08322990000002,382,156207,156207,13,7,100.0,245,2246,0,25,27,193,597,1549,100,7,161096,12,113,FL
Limestone ,151.9500253,42,80471,85712,3,6,99.8797,135,1599,4,2,25,104,398,1146,56,0,88845,1,83,AL
Orange ,151.76128590000002,1979,138159,137100,7,7,100.0,213,3539,5,16,60,132,1056,2343,140,11,140352,37,135,NC
Currituck ,151.6642072,1938,24192,24192,3,1,100.0,37,544,0,2,2,33,114,419,11,6,24396,37,53,NC
Spink ,151.2859304,2445,6543,6543,1,1,100.0,10,42,0,4,0,6,7,31,4,3,6610,46,115,SD
Sullivan ,151.2190583,1792,43545,32299,14,6,100.0,65,912,2,13,2,48,168,711,33,6,42984,33,19,NH
Lake ,151.0627736,651,714335,703353,38,41,99.9099,1062,12636,6,165,266,625,2474,9857,305,57,703019,17,97,IL
Union ,150.9973774,884,12594,12594,2,2,53.1265,19,150,0,0,0,19,43,100,7,0,12583,19,175,IA
DeSoto ,150.9747979,1431,164406,164406,5,5,90.5581,254,3570,2,43,57,152,932,2498,141,11,168240,28,33,MS
Burlington ,150.83023169999998,1795,451790,451245,36,34,99.6146,680,8073,2,86,247,344,1938,5766,369,55,450838,34,5,NJ
Lincoln ,150.5174036,589,5221,5221,2,2,100.0,8,13,0,2,1,5,9,3,1,0,5315,16,63,ID
Montgomery ,150.43877980000002,1567,12293,12293,7,7,99.6014,18,188,0,2,1,15,51,129,8,0,11965,29,139,MO
Paulding ,150.3912896,503,145214,145214,4,5,99.9778,221,2970,1,18,32,170,687,2012,271,9,146950,13,223,GA
