Palm Beach,,"14,498",86%,-0.62,FL
Pasco,,"5,201",82%,-0.07,FL
Pinellas,,"7,609",83%,-0.23,FL
Polk,,"6,945",78%,0.41,FL
Putnam,,705,72%,1.16,FL
Santa Rosa,,"2,118",87%,-0.66,FL
Sarasota,,"3,288",86%,-0.57,FL
Seminole,,"5,269",89%,-0.94,FL
St. Johns,,"2,855",90%,-1.14,FL
St. Lucie,,"3,013",91%,-1.28,FL
Sumter,,496,85%,-0.53,FL
Suwannee,,367,93%,-1.46,FL
Taylor,,165,70%,1.38,FL
Union,,158,81%,0.03,FL
Volusia,,"4,693",77%,0.53,FL
Wakulla,,345,88%,-0.78,FL
Walton,,573,83%,-0.18,FL
Washington,,257,78%,0.44,FL
Appling,,231,83%,0.57,GA
Atkinson,,108,87%,-0.2,GA
Bacon,,137,85%,0.22,GA
Baker,,20,90%,-0.72,GA
Baldwin,,295,89%,-0.51,GA
Banks,,230,90%,-0.79,GA
Barrow,,832,84%,0.29,GA
Bartow,,"1,286",85%,0.18,GA
Ben Hill,,222,79%,1.17,GA
Berrien,,200,82%,0.69,GA
Bibb,,"1,602",78%,1.37,GA
Bleckley,,177,91%,-0.89,GA
Brantley,,251,82%,0.61,GA
Brooks,,136,69%,2.96,GA
Bryan,,646,85%,0.11,GA
Bulloch,,720,83%,0.6,GA
Burke,,255,92%,-1.1,GA
Butts,,282,84%,0.27,GA
Calhoun,,46,89%,-0.56,GA
Camden,,566,92%,-1.05,GA
Candler,,124,92%,-1.06,GA
Carroll,,"1,432",85%,0.15,GA
Catoosa,,804,86%,0.04,GA
Charlton,,106,73%,2.34,GA
Chatham,,"2,228",85%,0.23,GA
Chattahoochee,,95,86%,-0.07,GA
Chattooga,,341,86%,-0.05,GA
Cherokee,,"3,108",87%,-0.15,GA
Clarke,,689,81%,0.82,GA
Clay,,,,0,GA
Clayton,,"3,643",71%,2.57,GA
Clinch,,84,87%,-0.17,GA
Cobb,,"9,401",84%,0.34,GA
Coffee,,497,82%,0.68,GA
Colquitt,,650,83%,0.58,GA
Columbia,,"1,835",90%,-0.74,GA
Cook,,235,86%,-0.08,GA
Coweta,,"1,701",86%,0.02,GA
Crawford,,117,79%,1.13,GA
Crisp,,303,86%,0.02,GA
Dade,,144,87%,-0.15,GA
Dawson,,239,97%,-1.89,GA
Decatur,,389,87%,-0.26,GA
DeKalb,,"7,161",77%,1.66,GA
Dodge,,232,80%,1.09,GA
Dooly,,114,75%,1.85,GA
Dougherty,,982,84%,0.37,GA
Douglas,,"2,047",87%,-0.25,GA
Early,,177,90%,-0.79,GA
Echols,,55,96%,-1.84,GA
Effingham,,869,88%,-0.33,GA
Elbert,,204,83%,0.54,GA
Emanuel,,270,79%,1.17,GA
Evans,,83,75%,1.98,GA
Fannin,,162,90%,-0.74,GA
Fayette,,"1,716",89%,-0.62,GA
Floyd,,"1,087",92%,-1.08,GA
Forsyth,,"3,155",94%,-1.5,GA
Franklin,,279,89%,-0.58,GA
Fulton,,"9,606",87%,-0.24,GA
Gilmer,,264,92%,-1.01,GA
Glascock,,48,83%,0.46,GA
Glynn,,791,91%,-0.94,GA
Gordon,,704,94%,-1.43,GA
Grady,,297,84%,0.43,GA
Greene,,122,81%,0.84,GA
Gwinnett,,"13,463",83%,0.56,GA
Habersham,,461,91%,-0.95,GA
Hall,,"2,298",86%,-0.06,GA
Hancock,,83,95%,-1.63,GA
Haralson,,385,94%,-1.47,GA
Harris,,415,93%,-1.16,GA
Hart,,198,96%,-1.86,GA
Heard,,155,94%,-1.34,GA
Henry,,"3,539",88%,-0.3,GA
Houston,,"1,942",88%,-0.42,GA
Irwin,,117,89%,-0.52,GA
Jackson,,766,94%,-1.42,GA
Jasper,,175,77%,1.65,GA
Jeff Davis,,241,87%,-0.21,GA
Jefferson,,176,91%,-0.88,GA
Jenkins,,95,73%,2.34,GA
Johnson,,81,88%,-0.3,GA
Jones,,403,85%,0.1,GA
Lamar,,182,88%,-0.35,GA
Lanier,,79,80%,1.09,GA
Laurens,,603,85%,0.24,GA
Lee,,447,86%,-0.04,GA
Liberty,,669,83%,0.52,GA
Lincoln,,90,82%,0.65,GA
Long,,212,84%,0.26,GA
Lowndes,,"1,230",84%,0.34,GA
Lumpkin,,213,90%,-0.66,GA
Macon,,124,87%,-0.21,GA
Madison,,274,90%,-0.68,GA
Marion,,120,89%,-0.57,GA
McDuffie,,276,76%,1.8,GA
McIntosh,,107,76%,1.8,GA
Meriwether,,179,87%,-0.12,GA
Miller,,90,78%,1.44,GA
Mitchell,,233,90%,-0.74,GA
Monroe,,334,87%,-0.16,GA
Montgomery,,75,91%,-0.83,GA
Morgan,,208,92%,-1.04,GA
Murray,,523,85%,0.08,GA
Muscogee,,"2,137",89%,-0.49,GA
Newton,,"1,341",84%,0.33,GA
Oconee,,572,96%,-1.77,GA
Oglethorpe,,145,86%,0.07,GA
Paulding,,"2,191",85%,0.17,GA
Peach,,257,83%,0.47,GA
Pickens,,296,92%,-1.05,GA
Pierce,,285,89%,-0.5,GA
Pike,,225,87%,-0.21,GA
Polk,,553,82%,0.64,GA
Pulaski,,97,86%,0.06,GA
Putnam,,182,91%,-0.83,GA
Quitman,,15,80%,1.04,GA
Rabun,,146,92%,-1.03,GA
Randolph,,93,85%,0.17,GA
Richmond,,"2,182",79%,1.26,GA
Rockdale,,"1,280",85%,0.22,GA
Schley,,90,88%,-0.33,GA
Screven,,159,73%,2.28,GA
Seminole,,111,96%,-1.84,GA
Spalding,,647,82%,0.76,GA
Stephens,,247,85%,0.23,GA
Stewart,,30,97%,-1.89,GA
Sumter,,298,81%,0.83,GA
Talbot,,40,75%,1.92,GA
Taliaferro,,,,0,GA
Tattnall,,234,80%,0.98,GA
Taylor,,110,75%,2,GA
Telfair,,127,85%,0.16,GA
Terrell,,107,92%,-1,GA
Thomas,,602,84%,0.36,GA
Tift,,485,85%,0.25,GA
Toombs,,385,86%,-0.01,GA
Towns,,92,92%,-1.14,GA
Treutlen,,69,78%,1.35,GA
Troup,,888,79%,1.25,GA
Turner,,106,81%,0.84,GA
Twiggs,,60,90%,-0.72,GA
Union,,173,99%,-2.27,GA
Upson,,326,87%,-0.26,GA
Walker,,792,88%,-0.34,GA
Walton,,"1,122",85%,0.14,GA
Ware,,375,88%,-0.41,GA
Warren,,32,88%,-0.28,GA
Washington,,232,88%,-0.35,GA
Wayne,,357,87%,-0.21,GA
Webster,,25,88%,-0.36,GA
Wheeler,,70,87%,-0.21,GA
White,,260,95%,-1.6,GA
Whitfield,,"1,637",84%,0.37,GA
Wilcox,,97,90%,-0.66,GA
Wilkes,,96,82%,0.64,GA
Wilkinson,,105,93%,-1.3,GA
Worth,,235,82%,0.67,GA
Hawaii,,"1,905",79%,0.93,HI
Honolulu,,"8,535",84%,-0.32,HI
Kalawao,,,,NR,HI
Kauai,,670,88%,-1.27,HI
Maui,,"1,633",80%,0.66,HI
Ada,,"6,274",77%,0.56,ID
Adams,,,,0,ID
Bannock,,"1,094",88%,-0.7,ID
Bear Lake,,80,88%,-0.63,ID
Benewah,,100,77%,0.6,ID
Bingham,,766,86%,-0.47,ID
Blaine,,264,91%,-1.03,ID
Boise,,,,0,ID
Bonner,,420,82%,0.04,ID
Bonneville,,"1,752",76%,0.64,ID
Boundary,,107,93%,-1.2,ID
Butte,,,,0,ID
Camas,,,,NR,ID
Canyon,,"2,920",78%,0.46,ID
Caribou,,,,0,ID
Cassia,,364,88%,-0.69,ID
Clark,,,,NR,ID
Clearwater,(Click for info),171,48%,3,ID
Custer,,,,0,ID
Elmore,,434,63%,2.16,ID
Franklin,,236,89%,-0.79,ID
Fremont,,137,93%,-1.2,ID
Gem,,220,81%,0.1,ID
Gooding,,240,79%,0.38,ID
Idaho,,139,82%,0.01,ID
Jefferson,,466,87%,-0.59,ID
Jerome,,290,80%,0.23,ID
Kootenai,,"1,803",77%,0.53,ID
Latah,,373,83%,-0.17,ID
Lemhi,,,,0,ID
Lewis,,,,0,ID
Lincoln,,,,0,ID
Madison,,555,90%,-0.89,ID
Minidoka,,311,73%,1.01,ID
Nez Perce,,446,85%,-0.35,ID
Oneida,,91,78%,0.5,ID
Owyhee,,142,89%,-0.84,ID
Payette,,326,81%,0.07,ID
Power,,128,83%,-0.17,ID
