Price-RangeQ32018,Number of Records,Q3 2018 Price
"$150,000-$350,000",1,"$222,337"
"$150,000-$350,000",1,"$292,034"
"$550,000-$750,000",1,"$623,647"
"$350,000-$550,000",1,"$472,327"
"$150,000-$350,000",1,"$279,603"
"$150,000-$350,000",1,"$343,531"
"$150,000-$350,000",1,"$170,767"
"$350,000-$550,000",1,"$408,027"
"$150,000-$350,000",1,"$306,018"
"Less than $150,000",1,"$89,125"
"Less than $150,000",1,"$86,780"
"$550,000-$750,000",1,"$556,326"
"$350,000-$550,000",1,"$464,057"
"$150,000-$350,000",1,"$349,799"
"Less than $150,000",1,"$100,517"
"$350,000-$550,000",1,"$353,111"
"Less than $150,000",1,"$126,316"
"Less than $150,000",1,"$127,545"
"Less than $150,000",1,"$89,013"
"$150,000-$350,000",1,"$277,315"
"$150,000-$350,000",1,"$230,295"
"$350,000-$550,000",1,"$440,108"
"Less than $150,000",1,"$136,256"
"$350,000-$550,000",1,"$522,315"
"$350,000-$550,000",1,"$526,150"
"$350,000-$550,000",1,"$423,288"
"$150,000-$350,000",1,"$307,975"
"$150,000-$350,000",1,"$178,697"
"$350,000-$550,000",1,"$361,637"
"$150,000-$350,000",1,"$336,068"
"$150,000-$350,000",1,"$318,303"
"$350,000-$550,000",1,"$350,580"
"$350,000-$550,000",1,"$363,424"
"$150,000-$350,000",1,"$153,456"
"$150,000-$350,000",1,"$191,317"
"$350,000-$550,000",1,"$454,589"
"Less than $150,000",1,"$92,922"
"Less than $150,000",1,"$145,414"
"$150,000-$350,000",1,"$220,690"
"$350,000-$550,000",1,"$398,382"
"$350,000-$550,000",1,"$397,354"
"$150,000-$350,000",1,"$162,949"
"Less than $150,000",1,"$147,536"
"$150,000-$350,000",1,"$166,076"
"$150,000-$350,000",1,"$252,653"
"$150,000-$350,000",1,"$311,602"
"$150,000-$350,000",1,"$188,972"
"$150,000-$350,000",1,"$221,025"
"$150,000-$350,000",1,"$226,163"
"$150,000-$350,000",1,"$181,935"
"Less than $150,000",1,"$102,527"
"$350,000-$550,000",1,"$469,749"
"$150,000-$350,000",1,"$292,180"
"Less than $150,000",1,"$148,095"
"$550,000-$750,000",1,"$662,964"
"Less than $150,000",1,"$105,431"
"$150,000-$350,000",1,"$187,518"
"$150,000-$350,000",1,"$224,488"
"$150,000-$350,000",1,"$159,710"
"$350,000-$550,000",1,"$514,423"
"$150,000-$350,000",1,"$167,640"
"$150,000-$350,000",1,"$300,880"
"$350,000-$550,000",1,"$541,674"
"Less than $150,000",1,"$102,192"
"$550,000-$750,000",1,"$611,701"
"$150,000-$350,000",1,"$295,633"
"Less than $150,000",1,"$134,358"
"$150,000-$350,000",1,"$333,103"
"$150,000-$350,000",1,"$166,188"
"$350,000-$550,000",1,"$435,477"
"$150,000-$350,000",1,"$248,011"
"$150,000-$350,000",1,"$267,324"
"$150,000-$350,000",1,"$289,380"
"$150,000-$350,000",1,"$251,601"
"$150,000-$350,000",1,"$242,504"
"$150,000-$350,000",1,"$250,686"
"$150,000-$350,000",1,"$203,646"
"$150,000-$350,000",1,"$230,026"
"$150,000-$350,000",1,"$276,686"
"$550,000-$750,000",1,"$644,349"
"$150,000-$350,000",1,"$186,443"
"Less than $150,000",1,"$134,667"
"$150,000-$350,000",1,"$195,367"
"Less than $150,000",1,"$97,983"
"$150,000-$350,000",1,"$213,006"
"$150,000-$350,000",1,"$287,165"
"Less than $150,000",1,"$86,614"
"$150,000-$350,000",1,"$210,926"
"Less than $150,000",1,"$139,558"
"$150,000-$350,000",1,"$197,607"
"$350,000-$550,000",1,"$384,575"
"$150,000-$350,000",1,"$157,530"
"Less than $150,000",1,"$90,620"
"Less than $150,000",1,"$77,520"
"$150,000-$350,000",1,"$206,726"
"$150,000-$350,000",1,"$158,976"
"Less than $150,000",1,"$146,487"
"Less than $150,000",1,"$109,867"
"Less than $150,000",1,"$104,516"
"Less than $150,000",1,"$86,723"
"$150,000-$350,000",1,"$163,918"
"Less than $150,000",1,"$79,577"
"Less than $150,000",1,"$87,914"
"Less than $150,000",1,"$86,290"
"$150,000-$350,000",1,"$160,168"
"Less than $150,000",1,"$108,485"
"$150,000-$350,000",1,"$239,746"
"Less than $150,000",1,"$100,040"
"$150,000-$350,000",1,"$215,361"
"Less than $150,000",1,"$102,746"
"Less than $150,000",1,"$142,838"
"Less than $150,000",1,"$109,784"
"$150,000-$350,000",1,"$206,194"
"$150,000-$350,000",1,"$240,634"
"$150,000-$350,000",1,"$218,325"
"Less than $150,000",1,"$96,034"
"Less than $150,000",1,"$67,559"
"Less than $150,000",1,"$94,410"
"$150,000-$350,000",1,"$254,020"
"$150,000-$350,000",1,"$151,718"
"$150,000-$350,000",1,"$313,672"
"$150,000-$350,000",1,"$317,347"
"$550,000-$750,000",1,"$556,173"
"$150,000-$350,000",1,"$260,215"
"$150,000-$350,000",1,"$225,885"
"Less than $150,000",1,"$97,333"
"$150,000-$350,000",1,"$260,971"
"$150,000-$350,000",1,"$220,334"
"$150,000-$350,000",1,"$311,619"
"$150,000-$350,000",1,"$181,269"
"$150,000-$350,000",1,"$221,451"
"$150,000-$350,000",1,"$170,718"
"Less than $150,000",1,"$93,760"
"$150,000-$350,000",1,"$330,940"
"$150,000-$350,000",1,"$200,737"
"$150,000-$350,000",1,"$213,110"
"$150,000-$350,000",1,"$274,763"
"$150,000-$350,000",1,"$263,198"
"$150,000-$350,000",1,"$280,414"
"Less than $150,000",1,"$100,040"
"Less than $150,000",1,"$91,920"
"Less than $150,000",1,"$96,359"
"$150,000-$350,000",1,"$192,140"
"Less than $150,000",1,"$145,007"
"$150,000-$350,000",1,"$246,743"
"Less than $150,000",1,"$111,191"
"Less than $150,000",1,"$76,742"
"Less than $150,000",1,"$66,524"
"Less than $150,000",1,"$77,912"
"Less than $150,000",1,"$79,120"
"Less than $150,000",1,"$115,804"
"Less than $150,000",1,"$137,198"
"$150,000-$350,000",1,"$175,234"
"$150,000-$350,000",1,"$185,317"
"Less than $150,000",1,"$86,427"
"Less than $150,000",1,"$92,281"
"Less than $150,000",1,"$124,269"
"Less than $150,000",1,"$105,160"
"Less than $150,000",1,"$73,725"
"Less than $150,000",1,"$95,123"
"$150,000-$350,000",1,"$216,891"
"Less than $150,000",1,"$144,117"
"Less than $150,000",1,"$92,306"
"Less than $150,000",1,"$136,131"
"Less than $150,000",1,"$52,154"
"$150,000-$350,000",1,"$164,446"
"Less than $150,000",1,"$94,304"
"Less than $150,000",1,"$148,792"
"Less than $150,000",1,"$148,503"
"Less than $150,000",1,"$87,492"
"$150,000-$350,000",1,"$206,998"
"Less than $150,000",1,"$85,366"
"Less than $150,000",1,"$72,910"
"$150,000-$350,000",1,"$281,337"
"$150,000-$350,000",1,"$189,477"
"Less than $150,000",1,"$63,756"
"Less than $150,000",1,"$115,963"
"Less than $150,000",1,"$67,162"
"$150,000-$350,000",1,"$284,923"
"Less than $150,000",1,"$93,239"
"Less than $150,000",1,"$89,940"
"$150,000-$350,000",1,"$214,491"
"Less than $150,000",1,"$93,452"
"$150,000-$350,000",1,"$239,546"
"Less than $150,000",1,"$98,759"
"Less than $150,000",1,"$89,301"
"Less than $150,000",1,"$131,919"
"$150,000-$350,000",1,"$226,661"
"Less than $150,000",1,"$116,869"
"$150,000-$350,000",1,"$223,860"
"Less than $150,000",1,"$78,125"
"Less than $150,000",1,"$88,556"
"Less than $150,000",1,"$100,916"
"$150,000-$350,000",1,"$180,724"
"Less than $150,000",1,"$88,024"
"Less than $150,000",1,"$58,680"
"$150,000-$350,000",1,"$167,212"
"Less than $150,000",1,"$87,066"
"Less than $150,000",1,"$83,554"
"Less than $150,000",1,"$88,982"
"$150,000-$350,000",1,"$182,541"
"$150,000-$350,000",1,"$314,390"
"Less than $150,000",1,"$145,615"
"$350,000-$550,000",1,"$391,587"
"Less than $150,000",1,"$108,141"
"$150,000-$350,000",1,"$343,072"
"$150,000-$350,000",1,"$172,855"
"Less than $150,000",1,"$70,887"
"$150,000-$350,000",1,"$184,528"
"Less than $150,000",1,"$127,193"
"Less than $150,000",1,"$117,614"
"$150,000-$350,000",1,"$187,117"
"$150,000-$350,000",1,"$246,492"
"Less than $150,000",1,"$146,032"
"$150,000-$350,000",1,"$212,437"
"Less than $150,000",1,"$70,355"
"Less than $150,000",1,"$131,089"
"$150,000-$350,000",1,"$203,541"
"Less than $150,000",1,"$139,646"
"Less than $150,000",1,"$112,602"
"$150,000-$350,000",1,"$190,023"
"Less than $150,000",1,"$135,862"
"Less than $150,000",1,"$86,427"
"$150,000-$350,000",1,"$198,506"
"Less than $150,000",1,"$134,114"
"Less than $150,000",1,"$82,915"
"Less than $150,000",1,"$73,655"
"Less than $150,000",1,"$62,905"
"Less than $150,000",1,"$68,333"
"Less than $150,000",1,"$132,102"
"Less than $150,000",1,"$148,344"
"Less than $150,000",1,"$105,006"
"Less than $150,000",1,"$90,472"
"$150,000-$350,000",1,"$156,051"
"Less than $150,000",1,"$121,468"
"Less than $150,000",1,"$123,042"
"Less than $150,000",1,"$118,444"
"Less than $150,000",1,"$137,434"
"$150,000-$350,000",1,"$187,650"
"Less than $150,000",1,"$109,380"
"Less than $150,000",1,"$121,830"
"Less than $150,000",1,"$65,246"
"Less than $150,000",1,"$137,719"
"Less than $150,000",1,"$90,172"
"Less than $150,000",1,"$102,294"
"Less than $150,000",1,"$94,197"
"Less than $150,000",1,"$87,811"
"$150,000-$350,000",1,"$169,256"
"Less than $150,000",1,"$81,425"
"$150,000-$350,000",1,"$221,603"
"Less than $150,000",1,"$101,638"
"Less than $150,000",1,"$145,237"
"$150,000-$350,000",1,"$166,382"
"$150,000-$350,000",1,"$285,404"
"Less than $150,000",1,"$126,620"
"$150,000-$350,000",1,"$190,919"
"Less than $150,000",1,"$134,111"
"$150,000-$350,000",1,"$208,062"
"Less than $150,000",1,"$105,373"
"$150,000-$350,000",1,"$181,508"
"Less than $150,000",1,"$112,398"
"Less than $150,000",1,"$118,252"
"$150,000-$350,000",1,"$179,560"
"Less than $150,000",1,"$71,739"
"$150,000-$350,000",1,"$167,959"
"Less than $150,000",1,"$71,633"
"Less than $150,000",1,"$108,633"
"$150,000-$350,000",1,"$174,561"
"Less than $150,000",1,"$100,903"
"Less than $150,000",1,"$83,979"
"Less than $150,000",1,"$82,170"
"Less than $150,000",1,"$133,442"
"Less than $150,000",1,"$104,841"
"Less than $150,000",1,"$55,135"
"Less than $150,000",1,"$87,918"
"Less than $150,000",1,"$86,427"
"Less than $150,000",1,"$62,905"
"Less than $150,000",1,"$93,772"
"Less than $150,000",1,"$70,036"
"Less than $150,000",1,"$59,179"
"Less than $150,000",1,"$88,177"
"Less than $150,000",1,"$139,859"
"Less than $150,000",1,"$119,423"
"Less than $150,000",1,"$103,777"
"$150,000-$350,000",1,"$210,640"
"Less than $150,000",1,"$75,571"
"Less than $150,000",1,"$149,226"
"Less than $150,000",1,"$77,380"
"Less than $150,000",1,"$60,335"
"$150,000-$350,000",1,"$204,147"
"Less than $150,000",1,"$90,366"
"Less than $150,000",1,"$129,765"
"$150,000-$350,000",1,"$209,855"
"Less than $150,000",1,"$83,554"
"Less than $150,000",1,"$66,311"
"Less than $150,000",1,"$87,705"
"Less than $150,000",1,"$114,208"
"Less than $150,000",1,"$60,882"
"Less than $150,000",1,"$49,813"
"$150,000-$350,000",1,"$168,065"
"Less than $150,000",1,"$146,749"
"Less than $150,000",1,"$74,293"
"Less than $150,000",1,"$88,769"
"Less than $150,000",1,"$73,548"
"Less than $150,000",1,"$85,191"
"$350,000-$550,000",1,"$375,676"
"$550,000-$750,000",1,"$709,056"
"$550,000-$750,000",1,"$610,800"
"$550,000-$750,000",1,"$698,944"
"$150,000-$350,000",1,"$306,780"
"$150,000-$350,000",1,"$183,250"
"$150,000-$350,000",1,"$174,426"
"$150,000-$350,000",1,"$156,396"
"$150,000-$350,000",1,"$165,971"
"$150,000-$350,000",1,"$162,229"
"$350,000-$550,000",1,"$429,565"
"$150,000-$350,000",1,"$221,470"
"$150,000-$350,000",1,"$245,104"
"$150,000-$350,000",1,"$193,546"
"$150,000-$350,000",1,"$199,539"
"Less than $150,000",1,"$121,837"
"$150,000-$350,000",1,"$190,734"
"$150,000-$350,000",1,"$212,138"
"Less than $150,000",1,"$143,739"
"$150,000-$350,000",1,"$150,672"
"Less than $150,000",1,"$108,629"
"Less than $150,000",1,"$147,921"
"$150,000-$350,000",1,"$190,734"
"$150,000-$350,000",1,"$159,807"
"$150,000-$350,000",1,"$183,802"
"$150,000-$350,000",1,"$173,565"
"$150,000-$350,000",1,"$178,038"
"Less than $150,000",1,"$147,921"
"$150,000-$350,000",1,"$181,159"
"$150,000-$350,000",1,"$188,224"
"$150,000-$350,000",1,"$158,927"
"$150,000-$350,000",1,"$304,918"
"$150,000-$350,000",1,"$228,045"
"$150,000-$350,000",1,"$190,844"
"Less than $150,000",1,"$132,072"
"Less than $150,000",1,"$139,997"
"$150,000-$350,000",1,"$209,665"
"Less than $150,000",1,"$134,053"
"$150,000-$350,000",1,"$187,292"
"$150,000-$350,000",1,"$166,851"
"$150,000-$350,000",1,"$150,399"
"$150,000-$350,000",1,"$152,874"
"Less than $150,000",1,"$147,412"
"Less than $150,000",1,"$129,321"
"$150,000-$350,000",1,"$320,935"
"$150,000-$350,000",1,"$178,628"
"$150,000-$350,000",1,"$283,955"
"$150,000-$350,000",1,"$164,100"
"Less than $150,000",1,"$130,976"
"Less than $150,000",1,"$54,352"
"Less than $150,000",1,"$122,300"
"$150,000-$350,000",1,"$156,173"
"Less than $150,000",1,"$90,518"
"Less than $150,000",1,"$109,113"
"Less than $150,000",1,"$117,735"
"Less than $150,000",1,"$101,552"
"Less than $150,000",1,"$78,463"
"$150,000-$350,000",1,"$176,498"
"Less than $150,000",1,"$89,395"
"Less than $150,000",1,"$89,293"
"Less than $150,000",1,"$78,872"
"$150,000-$350,000",1,"$151,707"
"Less than $150,000",1,"$95,831"
"$150,000-$350,000",1,"$260,542"
"Less than $150,000",1,"$84,695"
"Less than $150,000",1,"$96,035"
"$150,000-$350,000",1,"$178,675"
"Less than $150,000",1,"$100,122"
"Less than $150,000",1,"$104,924"
"$150,000-$350,000",1,"$324,941"
"Less than $150,000",1,"$81,732"
"Less than $150,000",1,"$75,092"
"Less than $150,000",1,"$140,273"
"Less than $150,000",1,"$85,819"
"Less than $150,000",1,"$104,939"
"Less than $150,000",1,"$71,414"
"Less than $150,000",1,"$86,636"
"Less than $150,000",1,"$73,048"
"Less than $150,000",1,"$78,565"
