Price-RangeQ32018,Number of Records,Q3 2018 Price
"Less than $150,000",1,"$73,036"
"Less than $150,000",1,"$129,258"
"Less than $150,000",1,"$89,955"
"Less than $150,000",1,"$89,430"
"Less than $150,000",1,"$76,504"
"Less than $150,000",1,"$96,891"
"Less than $150,000",1,"$94,789"
"Less than $150,000",1,"$98,467"
"Less than $150,000",1,"$107,400"
"Less than $150,000",1,"$87,328"
"$150,000-$350,000",1,"$154,479"
"Less than $150,000",1,"$76,084"
"Less than $150,000",1,"$118,434"
"Less than $150,000",1,"$102,986"
"Less than $150,000",1,"$89,850"
"Less than $150,000",1,"$84,491"
"Less than $150,000",1,"$111,393"
"Less than $150,000",1,"$93,528"
"Less than $150,000",1,"$104,878"
"Less than $150,000",1,"$129,048"
"Less than $150,000",1,"$119,275"
"Less than $150,000",1,"$86,698"
"Less than $150,000",1,"$132,936"
"Less than $150,000",1,"$77,135"
"Less than $150,000",1,"$108,346"
"Less than $150,000",1,"$110,658"
"Less than $150,000",1,"$121,482"
"Less than $150,000",1,"$78,291"
"Less than $150,000",1,"$123,794"
"Less than $150,000",1,"$91,637"
"Less than $150,000",1,"$96,471"
"Less than $150,000",1,"$77,029"
"Less than $150,000",1,"$138,611"
"Less than $150,000",1,"$117,068"
"Less than $150,000",1,"$132,516"
"Less than $150,000",1,"$111,919"
"Less than $150,000",1,"$148,910"
"Less than $150,000",1,"$88,799"
"Less than $150,000",1,"$132,411"
"Less than $150,000",1,"$98,573"
"Less than $150,000",1,"$94,894"
"Less than $150,000",1,"$92,267"
"Less than $150,000",1,"$82,494"
"$150,000-$350,000",1,"$156,371"
"Less than $150,000",1,"$131,045"
"Less than $150,000",1,"$101,620"
"Less than $150,000",1,"$76,189"
"Less than $150,000",1,"$86,172"
"Less than $150,000",1,"$108,556"
"Less than $150,000",1,"$106,559"
"Less than $150,000",1,"$73,877"
"Less than $150,000",1,"$95,945"
"$150,000-$350,000",1,"$168,771"
"Less than $150,000",1,"$81,653"
"Less than $150,000",1,"$130,729"
"Less than $150,000",1,"$111,183"
"Less than $150,000",1,"$102,040"
"Less than $150,000",1,"$76,399"
"Less than $150,000",1,"$63,683"
"Less than $150,000",1,"$94,054"
"Less than $150,000",1,"$119,428"
"Less than $150,000",1,"$123,937"
"Less than $150,000",1,"$104,065"
"Less than $150,000",1,"$123,255"
"$150,000-$350,000",1,"$176,018"
"$150,000-$350,000",1,"$172,515"
"$150,000-$350,000",1,"$163,597"
"$150,000-$350,000",1,"$233,665"
"$150,000-$350,000",1,"$209,460"
"$150,000-$350,000",1,"$176,337"
"Less than $150,000",1,"$95,971"
"$150,000-$350,000",1,"$150,114"
"$150,000-$350,000",1,"$189,193"
"Less than $150,000",1,"$120,963"
"Less than $150,000",1,"$104,376"
"$150,000-$350,000",1,"$170,163"
"Less than $150,000",1,"$119,032"
"Less than $150,000",1,"$113,866"
"$150,000-$350,000",1,"$189,154"
"$150,000-$350,000",1,"$193,551"
"$150,000-$350,000",1,"$156,071"
"$150,000-$350,000",1,"$156,401"
"Less than $150,000",1,"$134,749"
"$150,000-$350,000",1,"$240,702"
"Less than $150,000",1,"$142,553"
"$150,000-$350,000",1,"$171,735"
"Less than $150,000",1,"$113,995"
"$150,000-$350,000",1,"$157,088"
"Less than $150,000",1,"$130,128"
"Less than $150,000",1,"$130,022"
"$150,000-$350,000",1,"$152,607"
"Less than $150,000",1,"$132,245"
"Less than $150,000",1,"$124,860"
"$150,000-$350,000",1,"$317,097"
"$150,000-$350,000",1,"$232,882"
"$150,000-$350,000",1,"$230,936"
"$150,000-$350,000",1,"$211,039"
"Less than $150,000",1,"$109,574"
"Less than $150,000",1,"$94,014"
"$150,000-$350,000",1,"$213,669"
"Less than $150,000",1,"$107,273"
"Less than $150,000",1,"$134,776"
"$150,000-$350,000",1,"$172,031"
"Less than $150,000",1,"$135,324"
"$150,000-$350,000",1,"$169,072"
"Less than $150,000",1,"$127,873"
"$150,000-$350,000",1,"$168,963"
"Less than $150,000",1,"$146,500"
"$150,000-$350,000",1,"$296,397"
"$350,000-$550,000",1,"$377,592"
"Less than $150,000",1,"$127,434"
"Less than $150,000",1,"$115,053"
"Less than $150,000",1,"$107,711"
"$150,000-$350,000",1,"$239,857"
"Less than $150,000",1,"$140,255"
"$150,000-$350,000",1,"$289,275"
"$150,000-$350,000",1,"$151,760"
"$150,000-$350,000",1,"$245,555"
"$150,000-$350,000",1,"$267,579"
"Less than $150,000",1,"$118,340"
"$150,000-$350,000",1,"$192,302"
"Less than $150,000",1,"$122,613"
"$150,000-$350,000",1,"$276,345"
"Less than $150,000",1,"$149,349"
"$150,000-$350,000",1,"$175,099"
"$150,000-$350,000",1,"$176,852"
"$150,000-$350,000",1,"$258,156"
"Less than $150,000",1,"$122,723"
"Less than $150,000",1,"$129,078"
"Less than $150,000",1,"$133,790"
"Less than $150,000",1,"$121,517"
"$150,000-$350,000",1,"$154,499"
"Less than $150,000",1,"$110,341"
"$150,000-$350,000",1,"$270,209"
"$150,000-$350,000",1,"$233,392"
"Less than $150,000",1,"$127,544"
"Less than $150,000",1,"$129,955"
"$150,000-$350,000",1,"$224,626"
"$150,000-$350,000",1,"$160,526"
"Less than $150,000",1,"$146,610"
"$150,000-$350,000",1,"$246,760"
"$150,000-$350,000",1,"$247,527"
"$150,000-$350,000",1,"$171,593"
"Less than $150,000",1,"$137,186"
"Less than $150,000",1,"$115,600"
"Less than $150,000",1,"$148,582"
"Less than $150,000",1,"$97,849"
"Less than $150,000",1,"$120,641"
"$150,000-$350,000",1,"$182,397"
"Less than $150,000",1,"$125,144"
"Less than $150,000",1,"$94,180"
"$150,000-$350,000",1,"$180,475"
"$150,000-$350,000",1,"$181,995"
"$150,000-$350,000",1,"$212,509"
"$150,000-$350,000",1,"$173,091"
"$150,000-$350,000",1,"$198,066"
"Less than $150,000",1,"$122,156"
"Less than $150,000",1,"$83,168"
"Less than $150,000",1,"$107,536"
"Less than $150,000",1,"$145,358"
"Less than $150,000",1,"$91,008"
"Less than $150,000",1,"$111,879"
"Less than $150,000",1,"$111,668"
"Less than $150,000",1,"$67,594"
"Less than $150,000",1,"$84,969"
"$150,000-$350,000",1,"$170,786"
"Less than $150,000",1,"$97,047"
"Less than $150,000",1,"$118,130"
"Less than $150,000",1,"$120,355"
"Less than $150,000",1,"$116,435"
"Less than $150,000",1,"$126,924"
"Less than $150,000",1,"$120,885"
"Less than $150,000",1,"$90,054"
"Less than $150,000",1,"$99,907"
"Less than $150,000",1,"$119,931"
"Less than $150,000",1,"$98,318"
"Less than $150,000",1,"$113,892"
"Less than $150,000",1,"$107,006"
"Less than $150,000",1,"$80,837"
"Less than $150,000",1,"$126,712"
"Less than $150,000",1,"$78,294"
"Less than $150,000",1,"$80,625"
"Less than $150,000",1,"$65,687"
"Less than $150,000",1,"$104,039"
"Less than $150,000",1,"$69,183"
"Less than $150,000",1,"$115,270"
"Less than $150,000",1,"$86,664"
"Less than $150,000",1,"$101,815"
"Less than $150,000",1,"$123,216"
"Less than $150,000",1,"$58,588"
"Less than $150,000",1,"$73,527"
"Less than $150,000",1,"$144,617"
"Less than $150,000",1,"$144,299"
"Less than $150,000",1,"$88,147"
"Less than $150,000",1,"$82,108"
"Less than $150,000",1,"$61,873"
"Less than $150,000",1,"$109,019"
"Less than $150,000",1,"$90,902"
"Less than $150,000",1,"$126,712"
"Less than $150,000",1,"$79,990"
"Less than $150,000",1,"$87,088"
"Less than $150,000",1,"$136,247"
"Less than $150,000",1,"$114,846"
"Less than $150,000",1,"$76,281"
"Less than $150,000",1,"$88,147"
"Less than $150,000",1,"$90,160"
"Less than $150,000",1,"$138,578"
"Less than $150,000",1,"$117,495"
"$150,000-$350,000",1,"$168,561"
"Less than $150,000",1,"$145,676"
"Less than $150,000",1,"$133,598"
"Less than $150,000",1,"$96,305"
"Less than $150,000",1,"$92,597"
"Less than $150,000",1,"$85,181"
"Less than $150,000",1,"$121,415"
"Less than $150,000",1,"$66,005"
"Less than $150,000",1,"$138,472"
"Less than $150,000",1,"$75,328"
"Less than $150,000",1,"$111,879"
"Less than $150,000",1,"$127,136"
"Less than $150,000",1,"$108,701"
"Less than $150,000",1,"$144,723"
"Less than $150,000",1,"$106,158"
"Less than $150,000",1,"$96,941"
"Less than $150,000",1,"$73,421"
"Less than $150,000",1,"$88,677"
"Less than $150,000",1,"$100,649"
"Less than $150,000",1,"$123,534"
"Less than $150,000",1,"$75,116"
"Less than $150,000",1,"$90,478"
"Less than $150,000",1,"$109,337"
"Less than $150,000",1,"$118,554"
"Less than $150,000",1,"$71,514"
"Less than $150,000",1,"$87,194"
"Less than $150,000",1,"$83,804"
"Less than $150,000",1,"$98,212"
"Less than $150,000",1,"$140,909"
"Less than $150,000",1,"$80,095"
"Less than $150,000",1,"$110,502"
"Less than $150,000",1,"$136,035"
"$150,000-$350,000",1,"$195,190"
"$150,000-$350,000",1,"$173,756"
"$150,000-$350,000",1,"$300,249"
"$150,000-$350,000",1,"$192,251"
"$350,000-$550,000",1,"$354,032"
"$150,000-$350,000",1,"$225,221"
"Less than $150,000",1,"$83,563"
"Less than $150,000",1,"$94,477"
"$150,000-$350,000",1,"$185,884"
"$150,000-$350,000",1,"$172,696"
"$150,000-$350,000",1,"$151,095"
"$150,000-$350,000",1,"$179,631"
"Less than $150,000",1,"$103,345"
"Less than $150,000",1,"$142,227"
"Less than $150,000",1,"$114,941"
"Less than $150,000",1,"$148,480"
"$150,000-$350,000",1,"$214,644"
"$350,000-$550,000",1,"$379,957"
"$150,000-$350,000",1,"$252,856"
"$150,000-$350,000",1,"$301,976"
"$150,000-$350,000",1,"$236,147"
"$150,000-$350,000",1,"$243,862"
"$150,000-$350,000",1,"$214,611"
"Less than $150,000",1,"$132,002"
"$150,000-$350,000",1,"$232,826"
"$150,000-$350,000",1,"$248,040"
"$150,000-$350,000",1,"$183,325"
"$350,000-$550,000",1,"$352,626"
"$150,000-$350,000",1,"$264,981"
"$150,000-$350,000",1,"$221,890"
"$150,000-$350,000",1,"$302,192"
"$150,000-$350,000",1,"$303,427"
"$350,000-$550,000",1,"$498,038"
"$350,000-$550,000",1,"$401,777"
"$350,000-$550,000",1,"$400,082"
"$350,000-$550,000",1,"$429,098"
"$350,000-$550,000",1,"$360,794"
"$350,000-$550,000",1,"$446,571"
"$350,000-$550,000",1,"$489,672"
"$150,000-$350,000",1,"$296,091"
"$350,000-$550,000",1,"$353,805"
"$350,000-$550,000",1,"$449,960"
"$150,000-$350,000",1,"$284,336"
"$350,000-$550,000",1,"$391,081"
"$150,000-$350,000",1,"$290,944"
"$150,000-$350,000",1,"$264,665"
"$150,000-$350,000",1,"$214,310"
"$150,000-$350,000",1,"$240,516"
"$150,000-$350,000",1,"$208,787"
"$150,000-$350,000",1,"$161,596"
"$150,000-$350,000",1,"$151,870"
"$150,000-$350,000",1,"$168,761"
"Less than $150,000",1,"$123,136"
"Less than $150,000",1,"$92,070"
"Less than $150,000",1,"$108,577"
"Less than $150,000",1,"$134,517"
"Less than $150,000",1,"$69,412"
"Less than $150,000",1,"$146,718"
"Less than $150,000",1,"$128,468"
"Less than $150,000",1,"$83,150"
"Less than $150,000",1,"$69,514"
"Less than $150,000",1,"$83,253"
"$150,000-$350,000",1,"$152,254"
"$150,000-$350,000",1,"$176,246"
"$150,000-$350,000",1,"$292,513"
"Less than $150,000",1,"$85,919"
"Less than $150,000",1,"$74,128"
"Less than $150,000",1,"$111,858"
"Less than $150,000",1,"$120,983"
"Less than $150,000",1,"$74,025"
"$150,000-$350,000",1,"$171,325"
"Less than $150,000",1,"$117,190"
"Less than $150,000",1,"$136,260"
"Less than $150,000",1,"$102,118"
"Less than $150,000",1,"$105,604"
"$150,000-$350,000",1,"$223,922"
"Less than $150,000",1,"$91,763"
"$150,000-$350,000",1,"$206,291"
"$150,000-$350,000",1,"$207,125"
"Less than $150,000",1,"$116,377"
"Less than $150,000",1,"$136,590"
"$150,000-$350,000",1,"$150,763"
"$150,000-$350,000",1,"$318,544"
"$150,000-$350,000",1,"$154,024"
"$150,000-$350,000",1,"$154,975"
"Less than $150,000",1,"$109,127"
"Less than $150,000",1,"$124,406"
"Less than $150,000",1,"$119,138"
"Less than $150,000",1,"$117,886"
"Less than $150,000",1,"$78,265"
"Less than $150,000",1,"$94,281"
"Less than $150,000",1,"$129,089"
"Less than $150,000",1,"$93,427"
"Less than $150,000",1,"$102,396"
"Less than $150,000",1,"$146,173"
"$150,000-$350,000",1,"$239,813"
"Less than $150,000",1,"$121,615"
"Less than $150,000",1,"$147,347"
"$150,000-$350,000",1,"$156,850"
"Less than $150,000",1,"$109,122"
"Less than $150,000",1,"$114,888"
"Less than $150,000",1,"$119,479"
"$150,000-$350,000",1,"$188,028"
"$150,000-$350,000",1,"$175,108"
"$150,000-$350,000",1,"$158,345"
"Less than $150,000",1,"$129,943"
"Less than $150,000",1,"$106,667"
"$150,000-$350,000",1,"$151,511"
"Less than $150,000",1,"$100,687"
"Less than $150,000",1,"$122,469"
"Less than $150,000",1,"$105,065"
"Less than $150,000",1,"$104,104"
"$150,000-$350,000",1,"$189,523"
"Less than $150,000",1,"$115,849"
"Less than $150,000",1,"$137,631"
"$150,000-$350,000",1,"$236,877"
"$150,000-$350,000",1,"$204,528"
"$150,000-$350,000",1,"$269,852"
"$150,000-$350,000",1,"$171,553"
"Less than $150,000",1,"$149,535"
"$350,000-$550,000",1,"$423,909"
"$550,000-$750,000",1,"$743,191"
"$350,000-$550,000",1,"$518,794"
"$1,000,000 and more",1,"$1,033,669"
"$350,000-$550,000",1,"$380,915"
"$550,000-$750,000",1,"$577,991"
"$350,000-$550,000",1,"$530,866"
"$350,000-$550,000",1,"$464,998"
"$350,000-$550,000",1,"$417,873"
"$550,000-$750,000",1,"$580,109"
"$150,000-$350,000",1,"$167,643"
"Less than $150,000",1,"$136,586"
"Less than $150,000",1,"$146,002"
"$150,000-$350,000",1,"$159,383"
"$150,000-$350,000",1,"$179,238"
"Less than $150,000",1,"$101,004"
"Less than $150,000",1,"$134,887"
"$150,000-$350,000",1,"$201,549"
"$150,000-$350,000",1,"$150,384"
"Less than $150,000",1,"$103,617"
"Less than $150,000",1,"$134,118"
"$150,000-$350,000",1,"$249,371"
"$150,000-$350,000",1,"$206,347"
"Less than $150,000",1,"$130,038"
"$150,000-$350,000",1,"$233,052"
"$150,000-$350,000",1,"$263,828"
"$150,000-$350,000",1,"$181,831"
"$150,000-$350,000",1,"$160,548"
"$150,000-$350,000",1,"$177,609"
"Less than $150,000",1,"$134,637"
"Less than $150,000",1,"$128,267"
"Less than $150,000",1,"$145,534"
"$150,000-$350,000",1,"$160,837"
"Less than $150,000",1,"$148,531"
"Less than $150,000",1,"$132,265"
"Less than $150,000",1,"$84,431"
"Less than $150,000",1,"$95,775"
"$150,000-$350,000",1,"$238,099"
"$150,000-$350,000",1,"$218,837"
"Less than $150,000",1,"$112,040"
"$150,000-$350,000",1,"$155,701"
"Less than $150,000",1,"$137,295"
"$150,000-$350,000",1,"$165,438"
"Less than $150,000",1,"$120,387"
"Less than $150,000",1,"$91,173"
"$150,000-$350,000",1,"$170,789"
"$150,000-$350,000",1,"$304,980"
"Less than $150,000",1,"$149,815"
"Less than $150,000",1,"$95,025"
"$150,000-$350,000",1,"$152,490"
"Less than $150,000",1,"$133,549"
"$150,000-$350,000",1,"$156,343"
"Less than $150,000",1,"$92,564"
"$150,000-$350,000",1,"$161,265"
"Less than $150,000",1,"$92,885"
"Less than $150,000",1,"$86,679"
"$150,000-$350,000",1,"$189,623"
"Less than $150,000",1,"$99,199"
"Less than $150,000",1,"$148,103"
"Less than $150,000",1,"$100,055"
"Less than $150,000",1,"$118,140"
"$150,000-$350,000",1,"$173,357"
"Less than $150,000",1,"$88,926"
"$150,000-$350,000",1,"$150,457"
"Less than $150,000",1,"$113,324"
"$150,000-$350,000",1,"$250,191"
"Less than $150,000",1,"$87,642"
"$150,000-$350,000",1,"$161,158"
"$150,000-$350,000",1,"$170,040"
"$150,000-$350,000",1,"$177,103"
"$150,000-$350,000",1,"$219,907"
"Less than $150,000",1,"$85,609"
"Less than $150,000",1,"$82,505"
"Less than $150,000",1,"$133,228"
"Less than $150,000",1,"$93,848"
"Less than $150,000",1,"$91,173"
"Less than $150,000",1,"$142,324"
"Less than $150,000",1,"$134,084"
"Less than $150,000",1,"$130,874"
"$150,000-$350,000",1,"$216,269"
"Less than $150,000",1,"$121,029"
"Less than $150,000",1,"$102,195"
"Less than $150,000",1,"$100,483"
"Less than $150,000",1,"$92,029"
"$150,000-$350,000",1,"$257,575"
"Less than $150,000",1,"$144,892"
"Less than $150,000",1,"$131,944"
"Less than $150,000",1,"$149,601"
"Less than $150,000",1,"$143,639"
"Less than $150,000",1,"$136,337"
"Less than $150,000",1,"$130,561"
"$150,000-$350,000",1,"$156,063"
"$150,000-$350,000",1,"$185,124"
"$150,000-$350,000",1,"$170,423"
"Less than $150,000",1,"$134,923"
"Less than $150,000",1,"$138,625"
"Less than $150,000",1,"$92,065"
"$150,000-$350,000",1,"$228,787"
"$150,000-$350,000",1,"$155,531"
"$150,000-$350,000",1,"$203,488"
"$150,000-$350,000",1,"$185,010"
"$150,000-$350,000",1,"$257,495"
"Less than $150,000",1,"$142,992"
"$150,000-$350,000",1,"$255,516"
"$150,000-$350,000",1,"$305,573"
"$150,000-$350,000",1,"$250,275"
"$150,000-$350,000",1,"$308,107"
"Less than $150,000",1,"$130,535"
"$150,000-$350,000",1,"$170,876"
"$150,000-$350,000",1,"$172,173"
"$150,000-$350,000",1,"$298,303"
"$150,000-$350,000",1,"$253,614"
"Less than $150,000",1,"$137,345"
"Less than $150,000",1,"$138,553"
"$150,000-$350,000",1,"$264,986"
"$150,000-$350,000",1,"$194,132"
"$150,000-$350,000",1,"$233,311"
"$150,000-$350,000",1,"$190,048"
"Less than $150,000",1,"$88,814"
"Less than $150,000",1,"$139,247"
"$150,000-$350,000",1,"$163,649"
"Less than $150,000",1,"$90,370"
"$150,000-$350,000",1,"$159,017"
"$150,000-$350,000",1,"$269,916"
"$150,000-$350,000",1,"$190,362"
"$150,000-$350,000",1,"$229,846"
"Less than $150,000",1,"$147,510"
"Less than $150,000",1,"$119,311"
"Less than $150,000",1,"$70,141"
"$150,000-$350,000",1,"$188,637"
"Less than $150,000",1,"$143,030"
"$150,000-$350,000",1,"$152,294"
"Less than $150,000",1,"$117,377"
"Less than $150,000",1,"$97,220"
"Less than $150,000",1,"$112,388"
"$150,000-$350,000",1,"$153,516"
"$150,000-$350,000",1,"$171,840"
"Less than $150,000",1,"$75,536"
"Less than $150,000",1,"$93,861"
"Less than $150,000",1,"$127,862"
"Less than $150,000",1,"$122,059"
"Less than $150,000",1,"$81,237"
"Less than $150,000",1,"$93,453"
"Less than $150,000",1,"$110,149"
"Less than $150,000",1,"$106,280"
"Less than $150,000",1,"$92,741"
"Less than $150,000",1,"$80,423"
"Less than $150,000",1,"$118,802"
"Less than $150,000",1,"$73,602"
"$150,000-$350,000",1,"$217,447"
"$150,000-$350,000",1,"$162,169"
"$150,000-$350,000",1,"$169,193"
"$150,000-$350,000",1,"$172,858"
"Less than $150,000",1,"$80,117"
"$150,000-$350,000",1,"$174,894"
"Less than $150,000",1,"$87,040"
"Less than $150,000",1,"$112,388"
"Less than $150,000",1,"$132,748"
"Less than $150,000",1,"$122,772"
"Less than $150,000",1,"$128,167"
"Less than $150,000",1,"$118,089"
"Less than $150,000",1,"$75,027"
"Less than $150,000",1,"$98,136"
"Less than $150,000",1,"$86,429"
"Less than $150,000",1,"$77,674"
"Less than $150,000",1,"$90,908"
"$150,000-$350,000",1,"$232,310"
"Less than $150,000",1,"$73,297"
"Less than $150,000",1,"$133,257"
"Less than $150,000",1,"$74,315"
"Less than $150,000",1,"$129,491"
"Less than $150,000",1,"$85,207"
"$150,000-$350,000",1,"$210,321"
"Less than $150,000",1,"$85,716"
"$150,000-$350,000",1,"$243,203"
"$150,000-$350,000",1,"$205,312"
"Less than $150,000",1,"$119,199"
"Less than $150,000",1,"$132,014"
"Less than $150,000",1,"$128,665"
"Less than $150,000",1,"$102,895"
"Less than $150,000",1,"$125,718"
"Less than $150,000",1,"$142,416"
"Less than $150,000",1,"$105,189"
"Less than $150,000",1,"$130,950"
"Less than $150,000",1,"$121,719"
"$150,000-$350,000",1,"$165,727"
"$150,000-$350,000",1,"$153,598"
"Less than $150,000",1,"$135,995"
"Less than $150,000",1,"$132,775"
"Less than $150,000",1,"$109,483"
"Less than $150,000",1,"$102,506"
"Less than $150,000",1,"$91,880"
"Less than $150,000",1,"$121,504"
"Less than $150,000",1,"$120,968"
"Less than $150,000",1,"$116,889"
"Less than $150,000",1,"$110,771"
"Less than $150,000",1,"$110,663"
"Less than $150,000",1,"$143,294"
"Less than $150,000",1,"$102,399"
"Less than $150,000",1,"$95,100"
"Less than $150,000",1,"$124,724"
"Less than $150,000",1,"$115,708"
"Less than $150,000",1,"$127,086"
"$150,000-$350,000",1,"$197,284"
"Less than $150,000",1,"$127,515"
"Less than $150,000",1,"$100,788"
"Less than $150,000",1,"$149,090"
"Less than $150,000",1,"$136,531"
"Less than $150,000",1,"$105,404"
"Less than $150,000",1,"$93,812"
"Less than $150,000",1,"$148,016"
"Less than $150,000",1,"$104,545"
"Less than $150,000",1,"$97,139"
"Less than $150,000",1,"$120,646"
"Less than $150,000",1,"$97,998"
"Less than $150,000",1,"$99,286"
"Less than $150,000",1,"$110,019"
"Less than $150,000",1,"$107,443"
"$150,000-$350,000",1,"$157,999"
"Less than $150,000",1,"$131,916"
"Less than $150,000",1,"$120,109"
"Less than $150,000",1,"$108,517"
"Less than $150,000",1,"$105,833"
"Less than $150,000",1,"$147,909"
"Less than $150,000",1,"$136,424"
"Less than $150,000",1,"$106,263"
"Less than $150,000",1,"$91,987"
"$150,000-$350,000",1,"$160,575"
"Less than $150,000",1,"$101,110"
"Less than $150,000",1,"$118,714"
"Less than $150,000",1,"$113,728"
"$150,000-$350,000",1,"$188,255"
"$150,000-$350,000",1,"$161,597"
"Less than $150,000",1,"$129,983"
"Less than $150,000",1,"$128,771"
"Less than $150,000",1,"$102,791"
"Less than $150,000",1,"$143,997"
"Less than $150,000",1,"$124,327"
"$150,000-$350,000",1,"$155,436"
"$150,000-$350,000",1,"$184,834"
"Less than $150,000",1,"$127,936"
"$150,000-$350,000",1,"$181,008"
"$150,000-$350,000",1,"$174,213"
"$150,000-$350,000",1,"$163,533"
"$150,000-$350,000",1,"$230,306"
"Less than $150,000",1,"$141,414"
"$150,000-$350,000",1,"$278,318"
"$150,000-$350,000",1,"$169,332"
"$150,000-$350,000",1,"$154,192"
"$150,000-$350,000",1,"$213,893"
"$150,000-$350,000",1,"$329,070"
"$150,000-$350,000",1,"$204,107"
"$150,000-$350,000",1,"$189,199"
"$150,000-$350,000",1,"$185,691"
"$150,000-$350,000",1,"$171,770"
"$150,000-$350,000",1,"$152,806"
"$150,000-$350,000",1,"$166,618"
"$150,000-$350,000",1,"$203,887"
"Less than $150,000",1,"$120,458"
"$150,000-$350,000",1,"$169,260"
"$150,000-$350,000",1,"$155,498"
"Less than $150,000",1,"$109,856"
"Less than $150,000",1,"$109,339"
"$150,000-$350,000",1,"$174,308"
"$150,000-$350,000",1,"$170,332"
"Less than $150,000",1,"$122,622"
"Less than $150,000",1,"$108,184"
"$150,000-$350,000",1,"$160,183"
"$150,000-$350,000",1,"$174,099"
"$150,000-$350,000",1,"$159,346"
"Less than $150,000",1,"$83,023"
"Less than $150,000",1,"$76,173"
"Less than $150,000",1,"$100,609"
"Less than $150,000",1,"$108,891"
"Less than $150,000",1,"$119,729"
"Less than $150,000",1,"$85,681"
"Less than $150,000",1,"$101,120"
"Less than $150,000",1,"$83,739"
"Less than $150,000",1,"$111,447"
"Less than $150,000",1,"$113,799"
"Less than $150,000",1,"$90,794"
"Less than $150,000",1,"$58,689"
"Less than $150,000",1,"$89,771"
"Less than $150,000",1,"$79,342"
"Less than $150,000",1,"$98,258"
"Less than $150,000",1,"$130,465"
"Less than $150,000",1,"$112,470"
"Less than $150,000",1,"$88,647"
"Less than $150,000",1,"$85,579"
"Less than $150,000",1,"$106,335"
"Less than $150,000",1,"$95,497"
"Less than $150,000",1,"$78,115"
"Less than $150,000",1,"$67,277"
"Less than $150,000",1,"$50,816"
"Less than $150,000",1,"$78,013"
"Less than $150,000",1,"$89,464"
"Less than $150,000",1,"$70,958"
"Less than $150,000",1,"$99,996"
"Less than $150,000",1,"$61,040"
"Less than $150,000",1,"$81,285"
"Less than $150,000",1,"$85,988"
"Less than $150,000",1,"$139,258"
"Less than $150,000",1,"$63,903"
"Less than $150,000",1,"$82,921"
"Less than $150,000",1,"$96,724"
"Less than $150,000",1,"$79,751"
"Less than $150,000",1,"$97,440"
"Less than $150,000",1,"$96,110"
"Less than $150,000",1,"$88,544"
"Less than $150,000",1,"$109,096"
"Less than $150,000",1,"$109,505"
"Less than $150,000",1,"$109,402"
"Less than $150,000",1,"$96,928"
"Less than $150,000",1,"$83,432"
"Less than $150,000",1,"$80,876"
"Less than $150,000",1,"$86,193"
"$150,000-$350,000",1,"$159,911"
"Less than $150,000",1,"$100,609"
"Less than $150,000",1,"$123,001"
"Less than $150,000",1,"$121,569"
"Less than $150,000",1,"$75,048"
"Less than $150,000",1,"$108,482"
"Less than $150,000",1,"$72,799"
"Less than $150,000",1,"$106,335"
"Less than $150,000",1,"$111,754"
"Less than $150,000",1,"$55,315"
"Less than $150,000",1,"$115,128"
"Less than $150,000",1,"$82,001"
"Less than $150,000",1,"$95,190"
"Less than $150,000",1,"$125,762"
"Less than $150,000",1,"$141,560"
"Less than $150,000",1,"$84,202"
"Less than $150,000",1,"$115,450"
"Less than $150,000",1,"$91,752"
"$150,000-$350,000",1,"$165,153"
"$150,000-$350,000",1,"$163,161"
"$150,000-$350,000",1,"$168,404"
"Less than $150,000",1,"$144,256"
"Less than $150,000",1,"$93,289"
"Less than $150,000",1,"$98,959"
"$150,000-$350,000",1,"$320,426"
"$350,000-$550,000",1,"$404,646"
"$150,000-$350,000",1,"$289,823"
"$150,000-$350,000",1,"$160,150"
"$150,000-$350,000",1,"$279,272"
"$150,000-$350,000",1,"$195,017"
"$150,000-$350,000",1,"$205,907"
"$150,000-$350,000",1,"$243,414"
"$150,000-$350,000",1,"$220,646"
"Less than $150,000",1,"$121,982"
"$150,000-$350,000",1,"$170,929"
"Less than $150,000",1,"$123,082"
"$350,000-$550,000",1,"$373,316"
"$150,000-$350,000",1,"$196,117"
"$150,000-$350,000",1,"$305,780"
"$150,000-$350,000",1,"$197,217"
"Less than $150,000",1,"$135,401"
"$150,000-$350,000",1,"$250,454"
"$150,000-$350,000",1,"$237,695"
"Less than $150,000",1,"$140,461"
"Less than $150,000",1,"$144,751"
"$150,000-$350,000",1,"$158,390"
"$150,000-$350,000",1,"$256,833"
"$150,000-$350,000",1,"$189,188"
"$150,000-$350,000",1,"$189,298"
"$150,000-$350,000",1,"$239,344"
"$150,000-$350,000",1,"$210,526"
"$150,000-$350,000",1,"$152,120"
"$150,000-$350,000",1,"$275,126"
"$150,000-$350,000",1,"$292,846"
"$350,000-$550,000",1,"$436,075"
"$150,000-$350,000",1,"$240,909"
"$350,000-$550,000",1,"$424,963"
"$350,000-$550,000",1,"$425,071"
"$150,000-$350,000",1,"$333,044"
"$350,000-$550,000",1,"$383,621"
"$150,000-$350,000",1,"$169,110"
"Less than $150,000",1,"$139,964"
"$150,000-$350,000",1,"$159,821"
"Less than $150,000",1,"$131,218"
"$150,000-$350,000",1,"$170,678"
"Less than $150,000",1,"$133,523"
"$150,000-$350,000",1,"$194,217"
"$150,000-$350,000",1,"$183,100"
"$150,000-$350,000",1,"$162,004"
